Experiment Summary
Readout group name	Tamburini_061423
Date	19 Jun 2023  7:30 PM
Readout mode	NGS
Number of Collection Plates	1
Number Of AOIs	95
Library Prep Protocol Version

Library Prep Summary
Library Prep Plate	Collection Plate	Primer Plate	Rows
Tamburini_061423-G	"=""1001660015236"""	GeoMx Seq Code G	A - H
Total Area	4698342

Annotations
Sample_ID	slide name	scan name	panel	roi	segment	aoi	area	tags	Nuclei	ROI Coordinate X	ROI Coordinate Y	Scan Date	Scan Width	Scan Height	Scan Offset X	Scan Offset Y	(v1.0) Hesselberth_02-SO-90138 Custom	(v1.0) Mouse NGS Whole Transcriptome Atlas RNA
DSP-1001660015236-G-A01	No Template Control
DSP-1001660015236-G-A02	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""001"""	CD11C	CD11C-aoi-001	21635.90	Lyve1, CD11C, Other, CD11C	376	49451	15287	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A03	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""001"""	Lyve1	Lyve1-aoi-001	30881.18	Lyve1, CD11C, Other, Lyve1	538	49451	15287	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A04	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""002"""	CD11C	CD11C-aoi-001	24620.51	Lyve1, CD11C, Other, CD11C	500	49989	13723	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A05	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""002"""	Lyve1	Lyve1-aoi-001	50024.32	Lyve1, CD11C, Other, Lyve1	614	49989	13723	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A06	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""003"""	CD11C	CD11C-aoi-001	14623.73	Lyve1, CD11C, Other, CD11C	329	51661	13780	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A07	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""003"""	Lyve1	Lyve1-aoi-001	19018.18	Lyve1, CD11C, Other, Lyve1	225	51661	13780	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A08	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""004"""	CD11C	CD11C-aoi-001	7430.03	Lyve1, CD11C, Other, CD11C	83	49771	16419	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A09	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""004"""	Lyve1	Lyve1-aoi-001	8211.90	Lyve1, CD11C, Other, Lyve1	42	49771	16419	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A10	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""004"""	Other	Other-aoi-001	50828.72	Lyve1, CD11C, Other, Other	843	49771	16419	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A11	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""005"""	CD11C	CD11C-aoi-001	31936.29	CD11C, Other, CD4, CD11C	407	50711.96484375	15064.439453125	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-A12	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""005"""	Other	Other-aoi-001	63916.20	CD11C, Other, CD4, Other	1634	50711.96484375	15064.439453125	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-B01	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""005"""	CD4	CD4-aoi-001	76407.66	CD11C, Other, CD4, CD4	2083	50711.96484375	15064.439453125	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-B02	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""006"""	CD11C	CD11C-aoi-001	28547.73	Lyve1, CD11C, Other, CD11C	368	31336	15307	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
DSP-1001660015236-G-B03	Slide 1	Slide 1	(v1.0) Hesselberth_02-SO-90138 Custom, (v1.0) Mouse NGS Whole Transcriptome Atlas RNA	"=""006"""	Lyve1	Lyve1-aoi-001	31758.28	Lyve1, CD11C, Other, Lyve1	357	31336	15307	2023-06-15T15:48:54	33451.4	53657.6	7850	5939	9225079	MWTA12003
