Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bgID	n_ovlp	tot_genes	n_bg_ovlp	tot_bg_genes	enrichment
cLEC	GO:0007176	regulation of epidermal growth factor-activated receptor activity	3/38	24/14298	3.37296634823604e-5	0.02384227480782693	0.017468350747278188	App/Tgfa/Aplp2	3	Adam17/Adra2a/Aplp2/App/Areg/Btc/Cbl/Egf/Hbegf/Neurl1a/Psen1/Psen2/Tgfa/Tsg101/Vps25/Fbxw7/Socs5/Socs4/Errfi1/Cblc/Chmp6/Cblb/Zgpat/Gprc5a	3	38	24	14298	47.0328947368421
cLEC	GO:0006066	alcohol metabolic process	6/38	256/14298	5.303393548262733e-5	0.02384227480782693	0.017468350747278188	App/Nudt4/Dab2/Aplp2/Plcd1/Naaa	6	Abca1/Abca2/Abcg1/Acadl/Acadvl/Aco2/Adcyap1r1/Adh1/Adh5/Aldh3a2/Akr1b3/Aplp2/Apoa1/Apoa2/Apoc1/Apoe/App/Asah1/Bmp2/Bmp6/Cat/Cebpa/Cftr/Ch25h/Chka/Clcn2/Cyp11a1/Cyp1b1/Cyp46a1/Cyp51/Cyp7b1/Dab2/Pcbd1/Dhcr7/Dhfr/Dpagt1/Dpm1/Dpm2/Ebp/Ednrb/Ephx1/Ephx2/Fdft1/Fdx1/Fdxr/Fech/Fgf1/Fgf2/Fgfr1/Fgfr4/Fmo5/G6pdx/Gba/Gch1/Gpd1/Gfi1/Galk1/Gnb3/Got1/Lrp2/Lpcat3/Gk/Hao1/Hmgcr/Hmgcs2/Lipc/Hsd17b7/Idh1/Idh3g/Inpp1/Inppl1/Kcnma1/Lcat/Ldlr/Lepr/Lipe/Lrp1/Lrp5/Lss/Rdh11/Mecp2/Mt3/Mttp/Mvk/Myh9/Nfe2l1/Nfkb1/Npc1/Nsdhl/Pctp/Enpp1/Pla2g4a/Plcb1/Plcb3/Plcd1/Plcg1/Pmp22/Por/Plpp1/Ptafr/Pten/Pth1r/Ptk2b/Pts/Pex2/Rbp1/Rdh16/Rest/Dhrs3/Scnn1b/Scp2/Sord/Smpd1/Snca/Soat1/Sod1/Sphk1/Spr/Sptlc2/Sqle/Scarb1/Srebf1/Srebf2/Synj2/Thrb/Tpi1/Vldlr/Wnt4/Bpnt1/Cln8/Dysf/Ip6k1/Apon/Tpk1/Angptl3/Dkk3/Plpp2/Nus1/Slc5a3/Sult2b1/Asah2/Impa1/Cyp39a1/Plek/Gde1/Acpp/Nudt3/Mbtps1/Sphk2/Slc37a2/Park7/Srd5a3/Cacna1h/Nudt11/Akr1a1/Moxd1/Cubn/Lima1/Acer3/Msmo1/Dhrs7/Gdpd1/Pgp/Naaa/Dhdds/Retsat/Dgat2/Sec14l2/Idh3a/Plpp3/Npc2/Serpina12/Dpm3/Pmvk/Gdpd3/Arv1/Ipmk/Ttc39b/Degs2/Akr1cl/Nudt4/Isyna1/Coq2/Pcbd2/Insig2/Tm7sf2/Pck2/Shpk/Dhcr24/Ippk/Lmf1/Ip6k2/Cln6/Rdh12/Sgpp1/Lbr/Rdh10/Ldlrap1/H6pd/Hsd3b7/Nudt10/Rdh9/Cyp27a1/Sptssa/Rdh14/Akr1c14/Abhd4/Thtpa/Prkaa1/Prkaa2/Cyb5r3/Fdps/Qdpr/Dgkq/Hdlbp/Pecr/Impa2/Stard4/Idh3b/Apobr/Mvd/Hmgcs1/Inpp5a/Abca5/Itpk1/Pip4p1/Soat2/Tkfc/Myof/Erlin1/Ppip5k2/Sptlc3/Coq3/Gba2/Acer2/Insig1/Itpkc/Fgl1/Cbr4/Plcg2/Sc5d/Gk5/Scap/Npc1l1/Napepld/Tsku/Cyp2r1/Erlin2/Sptlc1/Idh2/Ip6k3/Grk3/Itpkb/Ppip5k1/Sgpp2/Plb1	6	38	256	14298	8.818667763157896
cLEC	GO:0010594	regulation of endothelial cell migration	5/38	160/14298	6.139113454808659e-5	0.02384227480782693	0.017468350747278188	Prox1/Grn/Ets1/Prcp/Lgmn	5	Abl1/Acvrl1/Adam17/Adora2b/Ager/Angpt1/Angpt2/Agt/Akt1/Alox12/Anxa3/Apoe/Nr2f2/Rhoa/Rhob/Atp5a1/Atp5b/Bmp4/Gdf2/Bmpr2/Bsg/Calr/Col18a1/Bcar1/Csnk2b/Dcn/Gadd45a/Efna1/Egf/Emp2/Epha2/Fgf1/Fgf18/Fgf2/Fgfr1/Foxc2/Flt4/Gata2/Gata3/Glul/Gpi1/Gpld1/Grn/Hdac5/Hif1a/Hmgb1/Hmox1/Hspb1/Igf1/Igf2/Itgb1bp1/Itgb3/Jup/Kdr/Klf4/Lcn2/Anxa1/Mecp2/Mef2c/Meox2/Met/Nf1/Nfe2l2/Nos3/Notch1/Nrp1/P2rx4/Pdcd6/Pdgfb/Pdpk1/Pik3c2a/Pik3cd/Pik3r2/Prkca/Prkd1/Plcg1/Pparg/Prox1/Lgmn/Ptgs2/Ptk2b/Ptprm/Rac1/Rock2/Rras/Serpinf1/Sema4a/Sema5a/Sh3bp1/Slit2/Snai2/Plk2/Sp1/Sp100/Sparc/Stat5a/Stc1/Tbxa2r/Tek/Tgfb1/Thbs1/Tnf/Cd40/Vegfa/Vegfc/Wnt5a/Wnt7a/Akt3/Ets1/Map2k5/Cib1/Synj2bp/Ceacam1/Map2k3/Map3k3/Amot/Pik3cg/Fbxw7/Nus1/Dll4/Cxcl13/Patz1/Hdac7/Pdcd10/Dnaja4/Smoc2/Rgcc/Plpp3/Srpx2/Zfp580/Svbp/Dab2ip/Emc10/Sash1/Atoh8/Prcp/Bmper/Rin2/Robo4/Pik3cb/Amotl1/Adgra2/Hdac9/Krit1/Rhoj/Sirt1/Adamts9/Prkd2/Mmrn2/Card10/Foxp1/Spred1/Dicer1/Bcas3/Zc3h12a/Vash1/Jcad/Stard13/Ccbe1/Atp2b4	5	38	160	14298	11.758223684210526
cLEC	GO:1901615	organic hydroxy compound metabolic process	7/38	387/14298	6.161928358198699e-5	0.02384227480782693	0.017468350747278188	App/Prox1/Nudt4/Dab2/Aplp2/Plcd1/Naaa	7	Abca1/Abca2/Abcg1/Acadl/Acadvl/Aco2/Chrnb2/Adcyap1r1/Adh1/Adh5/Agtr1a/Alpl/Aldh2/Aldh3a2/Akr1b3/Alox12/Alox15/Aplp2/Apoa1/Apoa2/Apoc1/Apoe/App/Asah1/Atp2b2/Atp7a/Bcl2/Bmp2/Bmp6/Cat/Cdh3/Cebpa/Cftr/Ch25h/Chka/Cited1/Clcn2/Comt/Crym/Ctsb/Ctsk/Ctsl/Cyp11a1/Cyp1b1/Cyp26a1/Cyp46a1/Cyp51/Cyp7b1/Dab2/Slc6a3/Pcbd1/Dct/Ddc/Ddt/Dhcr7/Dhfr/Dpagt1/Dpm1/Dpm2/Drd1/Ebp/Opn3/Ednra/Ednrb/Epas1/Ephx1/Ephx2/Fah/Fdft1/Fdx1/Fdxr/Fech/Fgf1/Fgf2/Fgfr1/Fgfr4/Fmo5/G6pdx/Slc37a4/Gata3/Gba/Gch1/Gpd1/Gfi1/Galk1/Hagh/Gnb3/Got1/Lrp2/Lpcat3/Gk/Hsd17b10/Hao1/Hdc/Htt/Hif1a/Hmgcr/Hmgcs2/Lipc/Hpn/Hprt/Hsd17b7/Idh1/Idh3g/Ifng/Inpp1/Inppl1/Itgam/Kcnma1/Kit/Lcat/Ldha/Ldhb/Ldlr/Lepr/Lipa/Lipe/Lrp1/Lrp5/Lss/Ly6e/Amacr/Maoa/Mc1r/Rdh11/Mecp2/Mt3/Mttp/Mvk/Myh9/Myo5a/Ndufs4/Nfe2l1/Nfkb1/Nqo1/Npc1/Npr1/Nsdhl/Nr4a2/Pctp/Pde1b/Enpp1/Per2/Pfkfb2/Pla2g4a/Plcb1/Plcb3/Plcd1/Plcg1/Pltp/Pmp22/Por/Plpp1/Med1/Prox1/Ptafr/Pten/Pth1r/Ptk2b/Pts/Abcd3/Pex2/Rbp1/Rdh16/Reln/Rest/Dhrs3/Scnn1b/Scp2/Sord/Pmel/Slc16a2/Slc1a1/Snai2/Smpd1/Snai1/Snca/Soat1/Sod1/Sphk1/Spr/Sptlc2/Sqle/Scarb1/Srebf1/Srebf2/Star/Sult1a1/Synj2/Tgfb2/Thrb/Tnf/Tph1/Tpi1/Trp53/Trpc1/Tyr/Vhl/Vldlr/Wnt4/Wnt5a/Bpnt1/Zeb2/Nr5a2/Slc7a11/Cln8/Dysf/Ip6k1/Apon/Tpk1/Angptl3/Ttpa/Dkkl1/Dkk3/Plpp2/Prkn/Nus1/Ldhd/Insm1/Slc5a3/Sult2b1/Cpq/Asah2/Atp8b1/Impa1/Cyp39a1/Plek/Gde1/Acpp/Nudt3/Mtch2/Cyp2d22/Mbtps1/Sphk2/Pnkd/Slc37a2/Pdxp/Park7/Srd5a3/Cacna1h/Nudt11/Erg28/Akr1a1/Moxd1/Fgf23/Vps35/Cubn/Lima1/Acer3/Msmo1/Dhrs7/Gdpd1/Duoxa2/Pgp/Naaa/Dhdds/Retsat/Rnls/Dgat2/Sec14l2/Idh3a/Sncaip/Gipc1/Plpp3/Npc2/Serpina12/Ebpl/Dpm3/Pmvk/Gdpd3/Arv1/Haghl/Ipmk/Ttc39b/Degs2/Akr1cl/Nudt4/Isyna1/Rnf180/Coq2/Cyb5r1/Cyp4f18/Rab38/Pcbd2/Appl1/Insig2/Tm7sf2/Mfsd12/Pank2/Pck2/Shpk/Dhcr24/Ippk/Rapgef2/Lmf1/Ip6k2/Cln6/Rdh12/Slc25a12/Sgpp1/Ctns/Sirt1/Lbr/Rdh10/Ldlrap1/H6pd/Hsd3b7/Nudt10/Rdh9/Pnpo/Cyp27a1/Sptssa/Rdh14/Akr1c14/Abhd4/Thtpa/Prkaa1/Prkaa2/Slco4a1/Npy/Maob/Cyb5r3/Glo1/Fdps/Qdpr/Dgkq/Hdlbp/Pecr/Acaa1a/Slc5a5/Impa2/Stard4/Cyp4f13/Idh3b/Apobr/Mvd/Hmgcs1/Inpp5a/Gatd1/Duox2/Pdxk/Nr1d1/Abca5/Itpk1/Gcnt4/Pip4p1/Soat2/Btbd9/Tkfc/Myof/Erlin1/Lct/Ppip5k2/Sptlc3/Coq3/Gba2/Acer2/Insig1/Cyp26b1/Itpkc/Fgl1/Cbr4/Plcg2/Sc5d/Gk5/Scap/Acaa1b/Npc1l1/Aoc2/Napepld/Tsku/Cyp2r1/Erlin2/Sptlc1/Abat/Idh2/Ip6k3/Slc24a5/Tigar/Grk3/Itpkb/Ppip5k1/Mrs2/Lipo3/Sgpp2/Plb1/Tomt	7	38	387	14298	6.80579355365157
cLEC	GO:0007617	mating behavior	3/38	31/14298	7.395246528482299e-5	0.02384227480782693	0.017468350747278188	App/Grn/Aplp2	3	Acvr2a/Ada/Aplp2/App/Ar/Avp/Cnr1/Cyp11a1/Drd1/Ednra/Ednrb/Grn/Hdac2/Hexb/Ncoa1/Ncoa2/Oxt/Oxtr/P2rx1/P2ry2/Pgr/Pten/Serpine2/Thra/Thrb/Vip/Fuom/Ube2q1/Ddo/Hdac4/Abat	3	38	31	14298	36.4125636672326
cLEC	GO:2000758	positive regulation of peptidyl-lysine acetylation	3/38	37/14298	1.264341860811069e-4	0.0277993951379918	0.020367586094310306	App/Kat2b/Sox4	3	App/Brca1/Lif/Smad4/Muc1/Myo1c/Nfe2/Mybbp1a/Kat2b/Pml/Ruvbl2/Foxp3/Snai2/Smarcb1/Sox4/Tgfb1/Wbp2/Baz1b/Ddx21/Sphk2/Piwil2/Dip2a/Pih1d1/Glyr1/Sf3b1/Smarca5/Prkaa1/Prkaa2/Arrb1/Dek/Arid5a/Tada2a/Tada2b/Dip2b/Ercc6/Auts2/Ep300	3	38	37	14298	30.507823613086767
cLEC	GO:0007626	locomotory behavior	5/38	195/14298	1.5608139616483797e-4	0.0277993951379918	0.020367586094310306	App/Selenop/Psap/Grn/Aplp2	5	Abca2/Abl2/Chrnb2/Adam22/Adora2a/Adra1b/Apba2/Aplp2/Apoe/App/Astn1/Zfhx3/Atp2b2/Atp7a/Pcdh15/Avp/Axin1/Cacna1a/Cacna1b/Cacna1c/Cacna1e/Cacnb4/Ccnd2/Celsr1/Chl1/Clcn3/Cnp/Cntn1/Cstb/Dab1/Slc6a3/Dlg4/Dpp4/Drd1/Efnb3/Egr1/Epha4/Eps8/Fgf12/Fxn/Fzd4/Gaa/Glra1/Glrb/Gnao1/Gng7/Grin2d/Grn/Htt/Hexa/Hexb/Hipk2/Hoxb8/Hoxd10/Hoxd9/Hprt/Id2/Ido1/Idua/Kcnma1/Lepr/Lmx1b/Mecp2/Meis1/Mapt/Myo5a/Myo6/Ncoa2/Ndufs4/Ngf/Npas2/Npc1/Npy1r/Ntan1/Nr4a2/Pafah1b1/Pbx3/Pde1b/Enpp1/Penk/Prkce/Pmp22/Ppp3cb/Ppt1/Psap/Pten/Reln/Ncor1/Atxn1/Scn1a/Scn8a/Cxcl12/Selenop/Slc1a1/Slc22a5/Snca/Sncg/Sod1/Sod2/Tal1/Tmod1/Tshr/Tuba1a/Ube3a/Uchl1/Cdh23/Cln8/Npas3/Naglu/Zdhhc8/Zfp385a/Prkn/Uchl3/Usp2/B4galt2/Rcan2/Rcan1/Dbn1/Mtor/Sez6l/Aldh1a3/Park7/Shank3/Crbn/Myg1/Fign/Gmfb/Gprc5b/Gpr88/Htra2/Tsc1/Vps35/Lrrk2/Agtpbp1/Slc25a46/Tmbim4/Aph1c/Tbce/Ddhd2/Pex13/Als2/Atg7/Rasd2/Ckap5/Abhd12/Cln6/Nav2/Ntf5/Pum1/Ctns/Atp1a2/Trmt1l/Wdr47/Inpp5f/Fig4/Etv5/Arrdc3/Chrnb4/Grm6/Sobp/Prex2/Asl/Mta1/Oxr1/Aph1b/Ghsr/Shank2/Nrg1/Arcn1/Slc18a2/Spg11/Nlgn2/Arrb2/Git1/Slc4a7/Adcy5/Btbd9/Gigyf2/Ciart/Zmpste24/Uba6/Zfp212/Sez6l2/Lgi4/Olfm2/Abat/Lsamp/Strn/Vps13a/Adgrl3/Apba1/Chd7/Negr1/Kalrn/Bc1	5	38	195	14298	9.647773279352226
cLEC	GO:0043542	endothelial cell migration	5/38	208/14298	2.1087791626937073e-4	0.0277993951379918	0.020367586094310306	Prox1/Grn/Ets1/Prcp/Lgmn	5	Abl1/Acvrl1/Adam17/Adam8/Adora2b/Ager/Angpt1/Angpt2/Agt/Akt1/Alox12/Anxa3/Apoa1/Apoe/Nr2f2/Rhoa/Rhob/Atp5a1/Atp5b/Bmp4/Gdf2/Bmpr2/Bsg/Calr/Cdh13/Cdh5/Cln3/Cxcr4/Col18a1/Bcar1/Csnk2b/Cyp1b1/Dcn/Gadd45a/Dpp4/Efna1/Efnb2/Egf/Egr3/Emp2/Epha2/Ephb4/Ptk2/Fap/Fgf1/Fgf18/Fgf2/Fgfr1/Foxc2/Flt4/Fstl1/Gata2/Gata3/Glul/Gpi1/Gpld1/Gpx1/Grn/Hdac5/Hif1a/Hmgb1/Hmox1/Nr4a1/Hspb1/Igf1/Igf2/Itgav/Itgb1/Itgb1bp1/Itgb2/Itgb3/Jup/Kdr/Klf4/Lcn2/Anxa1/Mecp2/Mef2c/Meox2/Met/Myh9/Nf1/Nfe2l2/Nos3/Notch1/Ccn3/Nrp1/P2rx4/Pdcd6/Pdgfb/Pdpk1/Pecam1/Pik3c2a/Pik3cd/Pik3r2/Pik3r3/Prkca/Prkd1/Plcg1/Pparg/Prox1/Lgmn/Pten/Ptgs2/Ptk2b/Ptp4a3/Ptprm/Pxn/Rac1/Robo1/Rock2/Rras/S100a9/Cxcl12/Serpinf1/Sema4a/Sema5a/Sh3bp1/Slit2/Snai2/Plk2/Sp1/Sp100/Sparc/Scarb1/Srf/Stat5a/Stc1/Tbxa2r/Tek/Tgfb1/Tgfbr1/Thbs1/Tnf/Cd40/Vegfa/Vegfc/Vhl/Wnt5a/Wnt7a/Coro1b/Akt3/Ets1/Grem1/Map2k5/Cib1/Synj2bp/Ceacam1/Map2k3/Map3k3/Amot/Pik3cg/Fbxw7/Nus1/Dll4/Paxip1/Cxcl13/Lgals8/Patz1/Hdac7/Pdcd10/Dnaja4/Smoc2/Rgcc/Clec14a/Plxnd1/Gipc1/Plpp3/Rab13/Srpx2/Zfp580/Svbp/Dab2ip/Emc10/Sash1/Atoh8/Prcp/Bmper/Rin2/Robo4/Pik3cb/Amotl1/Adgra2/Hdac9/Krit1/Rhoj/Sirt1/Loxl2/Adamts9/Prkd2/Mmrn2/Card10/Lpxn/Foxp1/Spred1/Dicer1/Bcas3/Zc3h12a/Vash1/Jcad/Stard13/Plekhg5/Tns3/Vstm4/Ccbe1/Mia3/Lemd3/Atp2b4	5	38	208	14298	9.044787449392713
cLEC	GO:0001525	angiogenesis	7/38	472/14298	2.121422846693249e-4	0.0277993951379918	0.020367586094310306	Tcf4/Tgfa/Grn/Ets1/Prcp/Plcd1/Cldn5	7	Abl1/Ace/Actg1/Acvr1/Acvrl1/Adam12/Adam15/Adam8/Adamts1/Add1/Adm/Adra2b/Adrb2/Angpt1/Angpt2/Agt/Agtr1a/Ahr/Akt1/Ang/Anxa3/Aqp1/Rhoa/Rhob/Atf2/Atp5b/Bmp4/Gdf2/Bmpr1a/Brca1/Bsg/Klf5/Btg1/C3/C3ar1/C5ar1/Anxa2/Casp8/Ctnnb1/Cav1/Runx1/Cd34/Cd59a/Cdc42/Cdh13/Cdh5/Cfh/Chil1/Cldn5/Cxcr3/Cxcr4/Ccr3/Ackr3/Col18a1/Col4a1/Col4a2/Col8a1/Ctsh/Cx3cr1/Cybb/Cyp1b1/Dcn/Gadd45a/Dll1/Ecm1/S1pr1/Edn1/Ednra/Efna1/Efnb2/Egf/Egr3/Eif2ak3/Elk3/Aimp1/Emp2/Eng/Enpep/Epas1/Epha1/Epha2/Ephb2/Ephb3/Ephb4/Epn1/Epn2/F3/Ptk2/Fap/Fgf1/Fgf18/Fgf2/Fgf9/Fgfr1/Fgfr2/Vegfd/Ccn2/Foxc2/Flt1/Flt4/Fn1/Fzd4/Fzd5/Fzd8/Gab1/Gata2/Gata4/Gata6/Gbx2/B4galt1/Glul/Gna13/Gpld1/Adgrg1/Gpx1/Grn/Gtf2i/Hdac5/Hbegf/Hgf/Hgs/Hhex/Hhip/Hif1a/Hipk2/Hk2/Hmgb1/Hmga2/Hmox1/Nr4a1/Hoxa5/Hpse/Hspb1/Hspg2/Hyal1/Id1/Cxcl10/Igf2/Ccn1/Ihh/Il10/Il12a/Il18/Il1b/Itga2b/Itga5/Itgav/Itgax/Itgb1/Itgb1bp1/Itgb2/Itgb3/Jak1/Jun/Jup/Kdr/Klf2/Klf4/Anpep/Lef1/Lepr/Lgals3/Lif/Sh2b3/Anxa1/Smad1/Smad5/Mdk/Mecp2/Meis1/Meox2/Foxc1/Mfge8/Mmp2/Mmp9/Ppp1r15a/Myh9/Ncl/Nf1/Nfatc3/Nfe2l2/Ngfr/Ninj1/Nos3/Notch1/Notch2/Notch3/Notch4/Ccn3/Nppc/Npr3/Nras/Nrp1/Nrp2/Nrxn1/Nrxn3/Ntrk1/Pdcd6/Pde3b/Pdgfa/Pdgfra/Pdgfrb/Enpp2/Pecam1/Pgf/Pgk1/Pik3c2a/Pik3ca/Pik3cd/Pik3r2/Pik3r3/Pkm/Prkca/Prkcb/Prkd1/Pknox1/Serpine1/Plau/Plcd1/Plcg1/Pml/Med1/Pparg/Ppp3r1/Prkx/Pten/Ptgis/Ptgs2/Ptk2b/Ptn/Ptprb/Ptprm/Pxn/Rbpj/Robo1/Rock1/Rock2/Rora/Rras/Rxra/S100a1/Sars/Scg2/Ccl11/Ccl12/Ccl2/Ccl5/Cx3cl1/Cxcl12/Serpinf1/Sfrp2/Sema3e/Sema4a/Sema5a/Sema6a/Shc1/Vps4b/Slc12a2/Slit2/Plk2/Sox17/Sox18/Sp1/Sp100/Sparc/Sphk1/Srf/Srpk2/Stat1/Stat3/Stim1/Abcc8/Syk/Tal1/Tbx1/Tbxa2r/Tcf4/Tek/Tert/Tgfa/Tgfb2/Tgfbr1/Tgfbr2/Thbs1/Thbs2/Thy1/Tie1/Tjp1/Tnf/Tnfaip2/Tnfrsf1a/Cd40/Tnfsf12/Ubp1/Vav2/Vegfa/Vegfb/Vegfc/Vezf1/Vhl/Fmnl3/Wnt5a/Wnt7a/Wnt7b/Xbp1/Ywhaz/Aplnr/Akt3/Ets1/Fbln5/Grem1/Map2k5/Mapk7/Cib1/Spry2/Synj2bp/Ceacam1/Map3k3/Map3k7/Mapk14/Creb3l1/Dysf/Tnfrsf12a/Amot/Mydgf/Clic4/Apln/Angptl3/Pik3cg/Sirt6/Fbxw7/Pnpla6/Hs6st1/Ramp1/Nus1/E2f7/Htatip2/Reck/Ramp2/Dll4/Calcrl/Foxo4/Becn1/Hdac7/Fkbpl/Amotl2/Pdcd10/Vav3/Parva/Angptl4/Mmp19/Stk4/Ghrl/Foxj2/Smoc2/Rgcc/Aggf1/Clec14a/Nrarp/Mtdh/Plxnd1/Tmem100/Ndnf/Adipor2/Ecscr/Rtn4/Srpx2/Pdcl3/Ddah1/Dab2ip/Pxdn/Emc10/Rasip1/Cysltr2/Sash1/Wars2/Pak4/Angptl6/Esm1/Jmjd8/Plxdc1/Prcp/Plcd3/Rspo3/Nfatc4/Bmper/Robo4/Pank2/Pik3cb/Naa15/Amotl1/Ccdc134/Lrg1/Adgra2/Hdac9/Krit1/Rhoj/Erap1/Cemip2/Jam3/Mcam/Sirt1/Vangl2/C1galt1/Loxl2/Emilin1/Adamts9/Prkd2/Pik3r6/Mmrn2/Card10/Tafa5/Unc5b/Rnh1/Jmjd6/E2f8/Cald1/Egln1/Spred1/Cspg4/Pofut1/Tlr3/Dicer1/Flna/Stab1/Bcas3/Ghsr/Ccm2/Flcn/Rapgef3/Vash2/Ppp1r16b/Rbm15/Npr2/Shb/Zc3h12a/Arhgap24/Cxcl17/Setd2/Ago1/Nox1/Vash1/Arhgap22/Ago2/Jcad/Sulf1/Wasf2/E2f2/Stard13/Psg22/Hspb6/Naxe/Emilin2/Optc/Tspan12/Ephb1/Slc39a12/Gpr4/Ism1/Tmem215/Vstm4/Itgb8/Ccbe1/Kctd10/Thsd7a/Mia3/Egfl7/Lemd3/Atp2b4/Apold1/Otulin/Rnf213	7	38	472	14298	5.5801739518287246
cLEC	GO:0060412	ventricular septum morphogenesis	3/38	45/14298	2.2753928078775523e-4	0.0277993951379918	0.020367586094310306	Nfatc1/Prox1/Sox4	3	Acvr1/Bmp4/Bmpr1a/Bmpr2/Fgfr2/Fzd1/Gja5/Hes1/Hey1/Hey2/Id2/Lrp6/Smad4/Smad7/Cited2/Nfatc1/Nog/Nos3/Notch1/Prox1/Rbpj/Robo1/Slit2/Slit3/Sox11/Sox4/Tbx3/Tgfb2/Tgfbr1/Tgfbr2/Tgfbr3/Wnt11/Wnt5a/Zfpm1/Zfpm2/Aplnr/Heyl/Fzd2/Sav1/Vangl2/Nsd2/Egln1/Fgfrl1/Rbm15/Robo2	3	38	45	14298	25.08421052631579
