Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bgID	n_ovlp	tot_genes	n_bg_ovlp	tot_bg_genes	enrichment
cLEC	GO:0042060	wound healing	7/34	326/14298	9.51331676292566e-6	0.011159120562911799	0.009092728021827895	Ano6/Fundc2/Fn1/Itgb1/Gja1/Dst/Ahnak	7	Macf1/Actg1/Acta2/Acvrl1/Adra2a/Adra2b/Adra2c/Adrb1/Adrb2/Alox12/Alox15/Anxa5/Anxa6/Ap3b1/Apoe/Aqp1/Rab27a/Serpinc1/Serping1/C3/Pdia4/Ddr1/Anxa2/Cask/Casp7/Cav1/Cd151/Cd34/Cd36/Entpd1/Entpd2/Cd44/Cd9/Cdkn1a/Celsr1/Cfh/Cflar/Cldn3/Cldn4/Cxcr4/Cnn2/Col3a1/Col5a1/Col1a1/Comp/Crk/Crp/Ctsg/Cxadr/Dst/Egfr/Elk3/Eng/Dmtn/Ephb2/Erbb2/Evl/Evpl/Ext1/F2/F2r/F2rl1/F2rl3/F3/F5/F7/F8/Ptk2/Fbln1/Fcer1g/Fgf1/Fgf10/Fgf2/Fgf7/Fkbp10/Foxc2/Fn1/Fzd6/Fzd7/Gas6/Gata2/Gata4/B4galt1/Gja1/Gna13/Gnaq/Gnas/Pdpn/Lilrb4a/Gp5/Gpx1/Pdia3/Ptpn6/Hbegf/Hif1a/Hmgb1/Hmgcr/Hmox1/Hpse/Hras/Igf1/Ccn1/Il6/Il6ra/Insl3/Itga2b/Itgb1/Itgb3/Itgb6/Jak2/F11r/Ajuba/Kdr/Klkb1/Sh2b3/Lox/Anxa1/Lyn/Lyst/Smad3/Smad4/Mertk/Msx2/Myh9/Naca/Nf1/Nfe2l2/Nog/Notch2/Slc11a1/Ddr2/P2rx1/Bloc1s6/Pak1/Pdgfa/Pdgfb/Pdgfra/Pecam1/Pip5k1c/Prkca/Prkcd/Prkce/Prkcq/Pla2g4a/Serpine1/Serpinb2/Plat/Plau/Plaur/Plec/Serpinf2/Pou2f3/Ppara/Ppard/Pparg/Ppl/Prkg1/Proc/Procr/Pros1/Pten/Ptger4/Ptprj/Rab3a/Hps6/S100a10/S100a9/Scnn1b/Ccl2/Cx3cl1/Selp/St3gal4/Vps4b/Slc12a2/Snai2/Smpd1/Serpine2/Srf/Stxbp1/Stxbp3/Abcc8/Syk/Sdc1/Sdc4/Tbxa2r/Prdx2/Tec/Tfpi/Tfpi2/Tgfb1/Tgfb2/Thbd/Thbs1/Timp1/Tlr4/Tnf/Tpm1/Txk/Tyro3/Vegfa/Vegfb/Vil1/Vtn/Vwf/Ccn4/Wnt4/Wnt5a/Wnt7a/Xbp1/Yap1/Coro1b/Papss2/Axl/Ceacam1/Map3k1/Slc7a11/Dysf/Tspan32/Tnfrsf12a/Sytl4/Vkorc1/Tor1a/Epb41l4b/Hgfac/Syt7/Plek/Tmeff2/Pdcd10/Mtor/Pf4/C1qtnf1/Cldn13/C1galt1c1/Smoc2/Mustn1/Chmp4c/Ahnak/Chmp1b/Arl8b/Fundc2/Fgfr1op2/Plpp3/Srsf6/Ndnf/Adipor2/Rreb1/Chmp2b/Chmp2a/Lnpk/Mmrn1/Ptk7/Prcp/Ubash3b/Pear1/Dcbld2/Rap2b/Pik3cb/Chmp4b/Clasp2/Plet1/Clasp1/Lrg1/Chmp5/Myh10/BC004004/Pard3/Vangl2/Dtnbp1/Duox1/Fgg/Chmp7/Ano6/Scrib/Tafa5/Kank1/Mylk/Fermt3/Tspan9/Dsp/Fgb/Fntb/Vps4a/Bloc1s4/Flna/Hps4/Hps1/Chmp6/Phldb2/Adamts18/Nrg1/Arfgef1/Arhgef19/Duox2/Tspan8/Serpina10/Fermt2/Eppk1/Mrtfa/Enpp4/Myof/Ccm2l/Syt11/Npr2/Ajap1/Arhgap24/Arhgap35/Bloc1s3/Vps33b/Fgl1/Carmil2/Chmp1a/Cd109/Nbeal2/Tsku/Hps5/Emilin2/Cadm4/Ppia/Abat/Adamts13/Gpr4/Abi3bp/Mia3/Kng2/Mfsd2b/Trim72	7	34	326	14298	9.02977264525442
cLEC	GO:0032060	bleb assembly	2/34	12/14298	3.568904087563404e-4	0.07114448427515273	0.057970289156762854	Ano6/Emp1	2	Prdx6/Emp1/Emp2/Emp3/Lpar1/P2rx7/Pmp22/Rock1/Anln/Actr3/Ano6/Mylk	2	34	12	14298	70.08823529411765
cLEC	GO:0030198	extracellular matrix organization	5/34	270/14298	4.111681232469845e-4	0.07114448427515273	0.057970289156762854	Col4a2/Fn1/Itgb1/Lamc1/Ltbp4	5	Abl1/Abl2/Adamts1/Aebp1/Agt/Apbb1/Apbb2/Aplp1/Aplp2/App/Atp7a/Axin2/Bcl3/Bmp2/Ddr1/Anxa2/Cav1/Cav2/Serpinh1/Mia/Cflar/Col11a2/Col13a1/Col14a1/Col15a1/Col17a1/Col18a1/Col3a1/Col4a1/Col4a2/Col4a4/Col4a5/Col5a1/Col5a2/Col7a1/Col8a1/Col9a1/Col9a2/Col9a3/Col1a1/Col1a2/Comp/Cst3/Ctsg/Ctss/Cyp1b1/Cyp2j6/Dag1/Dpp4/Elf3/Eln/Eng/Ercc2/Ext1/Ptk2/Fscn1/Fap/Fbln1/Fbln2/Fgfr4/Ccn2/Fkbp10/Foxc2/Flot1/Fn1/Gas2/B4galt1/Pdpn/Gpm6b/Has1/Has2/Has3/Foxf1/Hpse/Hpn/Hspg2/Idua/Ccn1/Ihh/Il6/Itgb1/Itgb3/Kif9/Lama1/Lama2/Lamb1/Lamb2/Lamb3/Lgals3/Lmx1b/Lox/Loxl1/Loxl3/Lum/Smad3/Marco/Matn2/Matn4/Foxc1/Mmp11/Mmp13/Mmp14/Mmp15/Mmp2/Mmp3/Mmp8/Mmp9/Mpv17/Myh11/Nf1/Nfkb2/Nid1/Notch1/Ddr2/Tnfrsf11b/P4ha1/Pdgfra/Serpinf2/Lcp1/Pmp22/Ptx3/Rb1/Scx/Sfrp2/Sema5a/Smarca4/Sox9/Serpinb5/Spint1/Spint2/Tcf15/Tfap2a/Tgfb1/Tgfb2/Tgfbi/Tgfbr1/Tie1/Tnf/Tnfrsf1a/Tnfrsf1b/Vhl/Vtn/Adamts5/Ets1/Fbln5/Grem1/Mmp17/Dnajb6/Creb3l1/Plod3/Mmp23/Meltf/Adamts8/Postn/Tmem38b/Atxn1l/Prdx4/Reck/Col5a3/Egfl6/Ramp2/Tfip11/Hsd17b12/P3h1/Dpt/Crtap/Ntn4/Mmp19/Efemp2/Smpd3/Smoc2/Smoc1/P3h4/Ier3ip1/Rgcc/Nepn/Slc39a8/Loxl4/Ccdc80/Ndnf/Col6a4/Antxr1/Pxdn/Col22a1/Gfod2/Prdm5/Col24a1/Myo1e/Mad2l2/Noxo1/Sulf2/Nphp3/Vit/Clasp2/Clasp1/Adamtsl1/Adamtsl2/Crispld2/Tnxb/Spock2/Col4a6/Loxl2/Pomt1/Emilin1/Adamts9/Ric8a/Exoc8/Phldb1/Qsox1/Vipas39/Prickle1/Kazald1/Col16a1/Ltbp4/Adamts7/Adamts6/Npnt/Mmp28/Slc2a10/Zfp469/Thsd4/Phldb2/Adamts18/Mkx/Col28a1/Chadl/Adamts2/Scara3/Impg2/Adamts10/Ric1/Lamc1/Pbxip1/Adamtsl4/Adamts17/Vps33b/Csgalnact1/Colgalt1/Carmil2/Mmp27/Adamts15/Nox1/Adamts14/Col23a1/Adamts12/Mmp25/Adamts19/Sulf1/Adamts4/Itga8/Olfml2a/Vwa1/Sh3pxd2b/Egflam/Optc/Adamtsl3/Adamts13/Mpzl3/Olfml2b/Abi3bp/Serac1/Adamts3/Mia3/Col27a1/Lemd3/Colq/Flrt2/Ecm2/Hmcn1/Angptl7	5	34	270	14298	7.787581699346406
cLEC	GO:0045229	external encapsulating structure organization	5/34	270/14298	4.111681232469845e-4	0.07114448427515273	0.057970289156762854	Col4a2/Fn1/Itgb1/Lamc1/Ltbp4	5	Abl1/Abl2/Adamts1/Aebp1/Agt/Apbb1/Apbb2/Aplp1/Aplp2/App/Atp7a/Axin2/Bcl3/Bmp2/Ddr1/Anxa2/Cav1/Cav2/Serpinh1/Mia/Cflar/Col11a2/Col13a1/Col14a1/Col15a1/Col17a1/Col18a1/Col3a1/Col4a1/Col4a2/Col4a4/Col4a5/Col5a1/Col5a2/Col7a1/Col8a1/Col9a1/Col9a2/Col9a3/Col1a1/Col1a2/Comp/Cst3/Ctsg/Ctss/Cyp1b1/Cyp2j6/Dag1/Dpp4/Elf3/Eln/Eng/Ercc2/Ext1/Ptk2/Fscn1/Fap/Fbln1/Fbln2/Fgfr4/Ccn2/Fkbp10/Foxc2/Flot1/Fn1/Gas2/B4galt1/Pdpn/Gpm6b/Has1/Has2/Has3/Foxf1/Hpse/Hpn/Hspg2/Idua/Ccn1/Ihh/Il6/Itgb1/Itgb3/Kif9/Lama1/Lama2/Lamb1/Lamb2/Lamb3/Lgals3/Lmx1b/Lox/Loxl1/Loxl3/Lum/Smad3/Marco/Matn2/Matn4/Foxc1/Mmp11/Mmp13/Mmp14/Mmp15/Mmp2/Mmp3/Mmp8/Mmp9/Mpv17/Myh11/Nf1/Nfkb2/Nid1/Notch1/Ddr2/Tnfrsf11b/P4ha1/Pdgfra/Serpinf2/Lcp1/Pmp22/Ptx3/Rb1/Scx/Sfrp2/Sema5a/Smarca4/Sox9/Serpinb5/Spint1/Spint2/Tcf15/Tfap2a/Tgfb1/Tgfb2/Tgfbi/Tgfbr1/Tie1/Tnf/Tnfrsf1a/Tnfrsf1b/Vhl/Vtn/Adamts5/Ets1/Fbln5/Grem1/Mmp17/Dnajb6/Creb3l1/Plod3/Mmp23/Meltf/Adamts8/Postn/Tmem38b/Atxn1l/Prdx4/Reck/Col5a3/Egfl6/Ramp2/Tfip11/Hsd17b12/P3h1/Dpt/Crtap/Ntn4/Mmp19/Efemp2/Smpd3/Smoc2/Smoc1/P3h4/Ier3ip1/Rgcc/Nepn/Slc39a8/Loxl4/Ccdc80/Ndnf/Col6a4/Antxr1/Pxdn/Col22a1/Gfod2/Prdm5/Col24a1/Myo1e/Mad2l2/Noxo1/Sulf2/Nphp3/Vit/Clasp2/Clasp1/Adamtsl1/Adamtsl2/Crispld2/Tnxb/Spock2/Col4a6/Loxl2/Pomt1/Emilin1/Adamts9/Ric8a/Exoc8/Phldb1/Qsox1/Vipas39/Prickle1/Kazald1/Col16a1/Ltbp4/Adamts7/Adamts6/Npnt/Mmp28/Slc2a10/Zfp469/Thsd4/Phldb2/Adamts18/Mkx/Col28a1/Chadl/Adamts2/Scara3/Impg2/Adamts10/Ric1/Lamc1/Pbxip1/Adamtsl4/Adamts17/Vps33b/Csgalnact1/Colgalt1/Carmil2/Mmp27/Adamts15/Nox1/Adamts14/Col23a1/Adamts12/Mmp25/Adamts19/Sulf1/Adamts4/Itga8/Olfml2a/Vwa1/Sh3pxd2b/Egflam/Optc/Adamtsl3/Adamts13/Mpzl3/Olfml2b/Abi3bp/Serac1/Adamts3/Mia3/Col27a1/Lemd3/Colq/Flrt2/Ecm2/Hmcn1/Angptl7	5	34	270	14298	7.787581699346406
cLEC	GO:0043062	extracellular structure organization	5/34	271/14298	4.1818704491781137e-4	0.07114448427515273	0.057970289156762854	Col4a2/Fn1/Itgb1/Lamc1/Ltbp4	5	Abl1/Abl2/Adamts1/Aebp1/Agt/Apbb1/Apbb2/Aplp1/Aplp2/App/Atp7a/Axin2/Bcl3/Bmp2/Ddr1/Anxa2/Cav1/Cav2/Serpinh1/Mia/Cflar/Col11a2/Col13a1/Col14a1/Col15a1/Col17a1/Col18a1/Col3a1/Col4a1/Col4a2/Col4a4/Col4a5/Col5a1/Col5a2/Col7a1/Col8a1/Col9a1/Col9a2/Col9a3/Col1a1/Col1a2/Comp/Cst3/Ctsg/Ctss/Cyp1b1/Cyp2j6/Dag1/Dpp4/Elf3/Eln/Eng/Ercc2/Ext1/Ptk2/Fscn1/Fap/Fbln1/Fbln2/Fgfr4/Ccn2/Fkbp10/Foxc2/Flot1/Fn1/Gas2/B4galt1/Pdpn/Gpm6b/Has1/Has2/Has3/Foxf1/Hpse/Hpn/Hspg2/Idua/Ccn1/Ihh/Il6/Itgb1/Itgb3/Kif9/Lama1/Lama2/Lamb1/Lamb2/Lamb3/Lgals3/Lmx1b/Lox/Loxl1/Loxl3/Lum/Smad3/Marco/Matn2/Matn4/Foxc1/Mmp11/Mmp13/Mmp14/Mmp15/Mmp2/Mmp3/Mmp8/Mmp9/Mpv17/Myh11/Nf1/Nfkb2/Nid1/Notch1/Ddr2/Tnfrsf11b/P4ha1/Pdgfra/Serpinf2/Lcp1/Pmp22/Ptx3/Rb1/Scx/Sfrp2/Sema5a/Smarca4/Sox9/Serpinb5/Spint1/Spint2/Tcf15/Tfap2a/Tgfb1/Tgfb2/Tgfbi/Tgfbr1/Tie1/Tnf/Tnfrsf1a/Tnfrsf1b/Vhl/Vtn/Adamts5/Ets1/Fbln5/Grem1/Mmp17/Dnajb6/Creb3l1/Plod3/Mmp23/Meltf/Adamts8/Postn/Tmem38b/Atxn1l/Prdx4/Reck/Col5a3/Egfl6/Ramp2/Tfip11/Hsd17b12/P3h1/Dpt/Crtap/Ntn4/Mmp19/Efemp2/Smpd3/Smoc2/Smoc1/P3h4/Ier3ip1/Rgcc/Nepn/Slc39a8/Loxl4/Ccdc80/Ndnf/Col6a4/Antxr1/Pxdn/Col22a1/Gfod2/Prdm5/Col24a1/Myo1e/Mad2l2/Noxo1/Sulf2/Nphp3/Vit/Clasp2/Clasp1/Adamtsl1/Adamtsl2/Crispld2/Tnxb/Tex14/Spock2/Col4a6/Loxl2/Pomt1/Emilin1/Adamts9/Ric8a/Exoc8/Phldb1/Qsox1/Vipas39/Prickle1/Kazald1/Col16a1/Ltbp4/Adamts7/Adamts6/Npnt/Mmp28/Slc2a10/Zfp469/Thsd4/Phldb2/Adamts18/Mkx/Col28a1/Chadl/Adamts2/Scara3/Impg2/Adamts10/Ric1/Lamc1/Pbxip1/Adamtsl4/Adamts17/Vps33b/Csgalnact1/Colgalt1/Carmil2/Mmp27/Adamts15/Nox1/Adamts14/Col23a1/Adamts12/Mmp25/Adamts19/Sulf1/Adamts4/Itga8/Olfml2a/Vwa1/Sh3pxd2b/Egflam/Optc/Adamtsl3/Adamts13/Mpzl3/Olfml2b/Abi3bp/Serac1/Adamts3/Mia3/Col27a1/Lemd3/Colq/Flrt2/Ecm2/Hmcn1/Angptl7	5	34	271	14298	7.758845235511179
cLEC	GO:0032507	maintenance of protein location in cell	3/34	65/14298	4.8521387399933657e-4	0.07114448427515273	0.057970289156762854	Gja1/Tmsb4x/Tspo	3	Adcy6/Akt1/Ank3/Bard1/Tspo/Cav1/Cdk5/Gja1/Grik5/Hspa5/Hdac3/Hk1/Hk2/Pfn1/Pml/Srgn/Twf1/Tmsb10/Tmsb4x/Rangap1/Scin/Sorl1/Sp100/Txn1/Twf2/Nr5a1/Mprip/Hnrnpu/Dbn1/Arl2/Tmed2/Park7/Taf8/Syne1/Dzip1/Golph3/Kdelr2/Rer1/Kdelr1/Ciz1/Pink1/Supt7l/Insig2/Sun1/Bbs4/Chchd10/Kdelr3/Topors/Arl2bp/Ccdc88a/Grk2/Taf3/Os9/Sun2/Gsn/Vps13d/Insig1/Tnrc6a/Vps13a/Vps13c/Morc3/Tmsb15l/Ankrd13c/Tmsb15b1/Tmsb15b2	3	34	65	14298	19.409049773755658
cLEC	GO:0045123	cellular extravasation	3/34	65/14298	4.8521387399933657e-4	0.07114448427515273	0.057970289156762854	Itgb1/Lyve1/Ccl21a	3	Adam8/Ager/Capn1/Crk/Crkl/Cx3cr1/Ext1/Fadd/Fer/Fut4/Fut7/Gcnt1/Icam1/Il1r1/Itga4/Itgal/Itgam/Itgb1/Itgb2/Itgb7/Cd47/F11r/Madcam1/Mdk/Pecam1/Plcb1/Ccl21a/Prtn3/Ptafr/Ptger4/Sirpa/Rock1/Ccl2/Ccl25/Ccl5/Cx3cl1/Cxcl12/Sele/Sell/Selp/Selplg/St3gal4/Spn/Thy1/Tnf/Vcam1/Chst4/Elane/Il27ra/Chst2/Ripk3/Golph3/Jam2/Med23/Pdgfd/Jam3/Plvap/Itga1/Abr/Bcr/Lyve1/Pawr/Cd99l2/Ripor2/Podxl2	3	34	65	14298	19.409049773755658
cLEC	GO:0002407	dendritic cell chemotaxis	2/34	17/14298	7.299486079519552e-4	0.09513663523640484	0.07751968842343572	Ano6/Ccl21a	2	C1qbp/Calr/Ccr6/Ccr7/Gas6/Il12a/Ccl21a/Spi1/Ccl19/Slamf1/Arhgef5/Trpm4/Slamf8/Slamf9/Ano6/Retnlg/Gpr183	2	34	17	14298	49.47404844290657
cLEC	GO:0006816	calcium ion transport	5/34	329/14298	0.0010060850129101648	0.10141310940928192	0.08263391514661282	Ano6/Gja1/Ahnak/Tspo/Ccl21a	5	Abl1/Asic1/Ace/Chrnb2/Adcyap1r1/Adora2a/Adrb1/Adrb2/Agt/Agtr1a/Ahr/Akt1/Anxa6/Atg5/Rhoa/Atp1b1/Atp2a1/Atp2a2/Atp2b2/Bak1/Bax/Bcl2/Bmp4/Tspo/Cacna1a/Cacna1b/Cacna1c/Cacna1d/Cacna1e/Cacna1s/Cacna2d1/Cacna2d3/Cacnb1/Cacnb2/Cacnb3/Cacnb4/Cacng1/Calm1/Calm2/Calm3/Camk2a/Camk2b/Camk2g/Cask/Casq1/Casr/Ctnnb1/Cav1/Cd19/Ms4a1/Cd84/Cdk5/Coro1a/Cxcr3/Cxcr4/Ccr5/Creb3/Cyba/Dbi/Ddit3/Diaph1/Dmd/Drd1/Edn1/Ednra/Ednrb/Egf/Epm2a/F2/F2r/F2rl3/Fgf2/Ccn2/Fkbp1a/Fkbp1b/Fmr1/Fyn/G6pdx/Gas6/Nipsnap2/Gem/Gja1/Gja4/Glp1r/Gnai2/Gnao1/Gnb5/Gp5/Grin2d/Gsto1/Hap1/Ptpn6/Hcrt/Htt/Hes1/Hpca/Hrc/Hspa2/Htr2a/Icam1/Cxcl10/Igf1/Il16/Itgav/Itgb3/Itpr1/Itpr2/Itpr3/Jak3/Kcnn4/Lck/Lgals3/Lyn/Cxcl9/Bhlha15/Trpm1/Myb/Myo5a/Nfatc1/Nfatc3/Ngf/Nos3/P2rx1/P2rx4/P2rx7/Pde4b/Pdgfb/Pdgfrb/Prkcb/Prkce/Prkd1/Pkd1/Pkd2/Serpine1/Plcb1/Plcb2/Plcb3/Plcb4/Plcd1/Plcg1/Plp1/Ccl21a/Pml/Ppp3ca/Ppp3cb/Ppp3cc/Ppp3r1/Inpp5k/Prnp/Psen1/Psen2/Ptgs2/Ptk2b/Ptpn22/Ptprc/Rcvrn/Rem1/Trim27/Rgs4/Rgs9/Ryr1/Ryr2/Ryr3/S100a1/Ccl5/Ccl8/Cx3cl1/Cxcl12/Slc8a1/Slc9a1/Snca/Stac/Stc1/Stc2/Stim1/Tgfb1/Tgfb2/Thy1/Tmem165/Trpc1/Trpc3/Trpc6/Sumo1/Cdh23/Vdac1/Vdr/Trpv2/Wfs1/Ywhae/Slc30a1/Aplnr/Scn11a/Ccl19/Best1/Homer1/Homer2/Homer3/Dysf/Cherp/Cabp1/Bin1/Pik3cg/Ramp1/Tmem38b/Atp2a3/Pla2g6/Usp2/Cacng4/Ramp2/Calcrl/Panx1/Ubqln1/Ramp3/Letm1/Rrad/Sphk2/Jph3/Ehd3/Kcne3/Cacna1h/Trpm7/Trpv4/Gpr35/Asph/Tspan13/Ahnak/Mcub/Slc25a23/1810037I17Rik/Saraf/Atp2b1/Maip1/Mcoln2/Gstm7/Micu2/Smim6/Trpm4/Ubr3/Tmco1/Zfas1/Smdt1/Atp2c2/Stimate/Mrln/Afg3l2/Clec4b1/Jsrp1/Ubash3b/Cabp4/Dnm1l/Plce1/Opa1/Tmem38a/Selenon/Vmp1/Oga/Mcur1/Micu3/Nol3/Pacsin3/Selenok/Cemip/Tlr9/Cacng7/Gimap3/Mcoln1/Slc24a3/Atp1a2/Ano6/Srl/Mylk/Camk2d/Grm6/Ibtk/Orai1/Sri/Ank2/Tmbim6/Pawr/Stim2/Gjc2/Slc8b1/Bbc3/Pkd1l1/Bspry/Flna/Trpv1/Efhb/Catsper2/Cracr2b/Slc24a1/Spg11/Mcu/Micu1/Arrb2/Stac2/Rapgef3/Fbxo11/Trpm6/Slc25a25/Sestd1/Zmpste24/Tpcn2/Plcg2/Atp2c1/Stac3/Akap6/Akap5/Pde4d/Slc35g1/Grin3a/Pkd1l3/Tpcn1/Epb41/Plch2/Orai2/Orai3/Wnk3/Slc24a5/Gimap5/Cacna2d4/Cachd1/Chd7/Fcrl5/Nalcn/Atp2b4/Cracr2a/Mettl21c/Cbarp	5	34	329	14298	6.391024494904345
cLEC	GO:0051651	maintenance of location in cell	4/34	192/14298	0.0010663621638165228	0.10141310940928192	0.08263391514661282	Gja1/Tmsb4x/Tspo/Ccl21a	4	Abl1/Adcy6/Akt1/Ank3/Anxa6/Ap3d1/Atg5/Apoe/Atp2a1/Atp7b/Bard1/Bax/Tspo/Calm1/Calm2/Calm3/Aspm/Casq1/Cav1/Cd19/Cdk5/Coro1a/Cxcr3/Ccr5/Cyba/Dbi/Ddit3/Diaph1/Dmd/Drd1/Ednra/F2/F2r/F2rl3/Fgf2/Fkbp1a/Fkbp1b/Fth1/Ftl1/Gaa/Gja1/Glp1r/Gm2a/Bscl2/Gp5/Grik5/Hspa5/Gsto1/Hap1/Ptpn6/Hdac3/Htt/Hexa/Hexb/Hk1/Hk2/Hrc/Htr2a/Cxcl10/Itgav/Itgb3/Itpr1/Itpr2/Lck/Lcn2/Lyn/Cxcl9/Myo5a/Ngf/P2rx7/Pafah1b1/Pfn1/Prkce/Prkd1/Pkd2/Plcb1/Plcb2/Plcb3/Plcb4/Plcd1/Plcg1/Ccl21a/Pml/Srgn/Psen1/Ptk2b/Twf1/Tmsb10/Tmsb4x/Ptprc/Rangap1/Ryr1/Ryr2/Scin/Cx3cl1/Slc8a1/Snca/Sorl1/Sp100/Tgfb1/Tgfb2/Thy1/Trpc1/Txn1/Slc30a3/Slc30a4/Aplnr/Twf2/Ccl19/Nr5a1/Mprip/Naglu/Cherp/Polr2m/Hnrnpu/Tmem38b/Dbn1/Arl2/Tmed2/Letm1/Park7/Jph3/Taf8/Syne1/Asph/Slc30a7/Dzip1/Golph3/Kdelr2/Slc25a23/Rer1/Mtln/Kdelr1/Gstm7/Ciz1/Pink1/Clec4b1/Tbccd1/Arhgap21/Jsrp1/Supt7l/Ubash3b/Slc17a7/Insig2/Plce1/Tmem38a/Selenon/Gpsm2/Sun1/Uvrag/Nol3/Cemip/Mcoln1/Akap9/Myzap/Bbs4/Chchd10/Kdelr3/Topors/Arl2bp/Camk2d/Ccdc88a/Ibtk/Sri/Ank2/Grk2/Slc8b1/Bbc3/Flna/Taf3/Os9/Sun2/Spout1/Gsn/Vps13d/Insig1/Tnrc6a/Tpcn2/Plcg2/Akap6/Pde4d/Plch2/Vps13a/Vps13c/Chd7/Fcrl5/Morc3/Tmsb15l/Mettl21c/Ankrd13c/Tmsb15b1/Tmsb15b2	4	34	192	14298	8.761029411764707
