Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bgID	n_ovlp	tot_genes	n_bg_ovlp	tot_bg_genes	enrichment
cLEC-Ag-high-model 1	GO:0050750	low-density lipoprotein particle receptor binding	4/92	25/14272	1.843961701650757e-5	0.005219881357966976	0.004720722947901936	Clu/App/Dab2/Ldlrap1	4	Ap2a1/Ap2m1/Apoe/App/Clu/Crp/Dab2/Dkk1/Lrp2/Lancl1/Dnaja1/Lrpap1/Mmp13/Commd1/Syt1/Hsp90b1/Sacs/Cltc/Mesd/Ankra2/Washc1/Ldlrap1/Apbb3/Picalm/Snx17	4	92	25	14272	24.82086956521739
cLEC-Ag-high-model 1	GO:0070325	lipoprotein particle receptor binding	4/92	28/14272	2.94077822984055e-5	0.005219881357966976	0.004720722947901936	Clu/App/Dab2/Ldlrap1	4	Ap2a1/Ap2m1/Apoa1/Apoa2/Apoe/App/Clu/Crp/Dab2/Dkk1/Lrp2/Lancl1/Dnaja1/Lrpap1/Mmp13/Commd1/Reln/Syt1/Hsp90b1/Sacs/Cltc/Mesd/Ankra2/Washc1/Ldlrap1/Apbb3/Picalm/Snx17	4	92	28	14272	22.16149068322981
cLEC-Ag-high-model 1	GO:0042288	MHC class I protein binding	3/92	26/14272	6.053121439327489e-4	0.07162860369870862	0.0647790189121012	Atp5a1/Tubb5/H2-K1	3	Atp5a1/Atp5b/Cd8b1/Pdia3/H2-D1/H2-K1/H2-M2/H2-Q10/H2-Q2/H2-Q4/H2-Q7/H2-T22/H2-T23/Pirb/Tap1/Tap2/Tubb5/Bcap31/Derl1/Mfsd6/H2-Q6/Klra17/Pilrb1/Pilra/H2-M5/Vcp	3	92	26	14272	17.899665551839465
cLEC-Ag-high-model 1	GO:0019207	kinase regulator activity	6/92	181/14272	0.0011080209253566933	0.07866948570032523	0.07114660678606137	Gas6/Socs2/Cd24a/Sh3bp5/Ccnyl1/Elp3	6	Abi1/Ahsg/Apc/Bcl10/Cab39/Calm1/Calm2/Calm3/Ccnk/Ccnt1/Cd24a/Cd79a/Cdc37/Cdk5r1/Cdkn1a/Cdkn1b/Cdkn1c/Cish/Socs3/Socs1/Csnk2b/Daxx/Ddx3x/Egfr/Erbb3/Fgf13/Gas6/Rack1/Lilrb4a/Gstp1/Hmgb1/Hras/Hsp90ab1/Hyal2/Irgm1/Cd79b/Igf1/Igf1r/Igf2/Igtp/Insr/Itsn1/Klf4/Kras/Lgals9/Lrp6/Ltf/Mnat1/Mt3/Mtcp1/Nck1/Ngf/Npm1/P2rx7/Pdpk1/Pfkfb1/Pfkfb2/Pik3ca/Pik3r1/Pik3r2/Pik3r3/Pim1/Pkia/Pkib/Pkig/Plcb1/Ppp2ca/Prkag1/Prkar1a/Rac2/Rara/Ccl5/Stk11/Tgfb1/Wnt11/Grem1/Map2k5/Dazap2/Sh3bp5/Spry2/Spry4/Map2k1/Map2k2/Map3k12/Dbf4/Tcl1b2/Iqgap1/Parp8/Cks1b/Irgm2/Ywhab/Socs6/Rplp1/Chp1/Socs5/Lamtor3/Mlst8/Stap1/Parva/Ghrl/Gprc5b/Map3k20/Bccip/Cks2/Rgcc/Camk2n1/Dus2/Tab1/Gskip/Prkrip1/Dele1/Parp6/Socs4/Ccny/Dusp19/Etaa1/Mob1b/Cab39l/Ccnq/Dab2ip/Gprc5c/Spdya/Map3k13/Tom1l1/Strada/Ccnt2/Camk2n2/Als2/Elp3/Rptor/Rhoh/Tsacc/Kidins220/Elp4/Rictor/Sh3bp5l/Qars/Mob3c/Wdr91/Mob2/Inca1/Pik3r6/Nckap1l/Prkag2/Ibtk/Raf1/Dgkq/Socs7/Hexim1/Wdr81/Mob3a/Fam20a/Nrg1/Trib1/Parp16/Mob3b/Socs2/Taok1/Trib2/Mbip/Nek9/Akap11/Ankrd54/Pak2/Afap1l2/Stradb/Ccnyl1/Trib3/Gcn1/Mob1a/Wnk1/Gprc5a/Vac14/Smcr8/Malt1/Ccnb1/Ercc6/Pik3r5/Itprip/Cks1brt/Dnajc3	6	92	181	14272	5.14244535190968
cLEC-Ag-high-model 1	GO:0005178	integrin binding	5/92	134/14272	0.0017325751808750932	0.09070225971254334	0.08202873005878641	Jam3/Kdr/App/Dab2/Fbln5	5	Adam15/Adam17/Adam8/Adam9/Anxa7/App/Pdia4/Calr/Casr/Cd151/Cd81/Cd9/Col3a1/Comp/Cxadr/Dab2/Dmd/Dst/S1pr3/Egfr/Emp2/Ptk2/Fap/Fbln1/Fbn1/Fgf1/Fgf2/Ccn2/Fn1/Lilrb4a/S1pr2/Hmgb1/Icam1/Icam2/Icam5/Igf1/Igf2/Ccn1/Il1b/Ilk/Itga2/Itga2b/Itga3/Itga4/Itga5/Itga6/Itga7/Itgae/Itgal/Itgam/Itgav/Itgax/Itgb1/Itgb1bp1/Itgb2/Itgb3/Itgb5/Itgb6/Itgb7/F11r/Kdr/L1cam/Lama3/Lama5/Lamb1/Lamb2/Lyn/Madcam1/Mfge8/Mmp14/Myh9/Nf2/Ccn3/P4hb/Prkca/Lcp1/Ptn/Ptpn2/Ptprz1/Pxn/Cx3cl1/Cxcl12/Sema7a/Spp1/Src/Syk/Tgfbi/Thbs1/Thbs4/Thy1/Timp2/Tln1/Utrn/Vcam1/Vtn/Vwf/Ccn4/Ccn5/Fbln5/Itgb1bp2/Angptl3/Egfl6/Lgals8/Cib2/Gsk3b/Tspan4/Nisch/Jam2/Plpp3/Tln2/Esm1/Icam4/Jam3/Gpnmb/Emilin1/Itga9/Col16a1/Fermt3/Itga1/Actn1/Npnt/Itgb4/Nrg1/Itga10/Tspan8/Fermt2/Frmd5/Itga8/Ppia/Itga11/Itgb8/Cdh26/Itgad/Isg15	5	92	134	14272	5.788449059052564
cLEC-Ag-high-model 1	GO:0035612	AP-2 adaptor complex binding	2/92	10/14272	0.0017884952619374743	0.09070225971254334	0.08202873005878641	Dab2/Ldlrap1	2	Dab2/Lmbrd1/Tbc1d5/Fcho1/Ldlrap1/Arrb1/Bmp2k/Sidt2/Hip1/Aak1	2	92	10	14272	31.02608695652174
cLEC-Ag-high-model 1	GO:0048038	quinone binding	2/92	14/14272	0.003556562017758898	0.12625795163044087	0.11418435951752254	Ndufs2/Vkorc1l1	2	Aoc3/Vkorc1/Dhodh/Sqor/Etfdh/Sdhd/Coq10b/Vkorc1l1/Ndufs7/Aoc1/Coq10a/Ndufs2/Cbr4/Aoc2	2	92	14	14272	22.16149068322981
cLEC-Ag-high-model 1	GO:0004190	aspartic-type endopeptidase activity	2/92	16/14272	0.004650850625251868	0.13309838131032445	0.12037066360162775	Ctsd/Psen2	2	Casp3/Casp7/Ctsd/H13/Psen1/Psen2/Bace1/Bace2/Ncstn/Nrip2/Sppl2a/Ddi2/Sppl2b/Sppl3/Nrip3/Pgc	2	92	16	14272	19.391304347826086
cLEC-Ag-high-model 1	GO:0034185	apolipoprotein binding	2/92	16/14272	0.004650850625251868	0.13309838131032445	0.12037066360162775	Canx/App	2	Abca1/App/Canx/Lilrb4a/Lipc/Hspd1/Lcat/Lpl/Lrp1/Lrp6/Lrp8/Mapt/Mttp/Scarb1/Vldlr/Lrp4	2	92	16	14272	19.391304347826086
cLEC-Ag-high-model 1	GO:0050839	cell adhesion molecule binding	6/92	247/14272	0.005222380391912798	0.13309838131032445	0.12037066360162775	Jam3/Kdr/App/Dab2/Neo1/Fbln5	6	Acvr1/Adam15/Adam17/Adam8/Adam9/Ager/Ank3/Anxa7/App/Arvcf/Bmpr2/Pdia4/Calr/Caml/Casr/Ctnna1/Ctnna2/Ctnnb1/Ctnnd1/Cd151/Cd1d1/Cd2ap/Cd81/Cd9/Cdh1/Cdh11/Cdh13/Cdh2/Cdh3/Cdh4/Cdh5/Cdh6/Cdk5r1/Cntn1/Col3a1/Comp/Cpe/Cxadr/Dab2/Dmd/Dsg2/Dst/S1pr3/Egfr/Emb/Emp2/Ptk2/Fap/Fbln1/Fbn1/Fer/Fgf1/Fgf2/Fgfr1/Ccn2/Fn1/Glycam1/Lilrb4a/S1pr2/Ptpn6/Hmgb1/Icam1/Icam2/Icam5/Igf1/Igf2/Ccn1/Il1b/Ilk/Itga2/Itga2b/Itga3/Itga4/Itga5/Itga6/Itga7/Itgae/Itgal/Itgam/Itgav/Itgax/Itgb1/Itgb1bp1/Itgb2/Itgb3/Itgb5/Itgb6/Itgb7/Cd47/F11r/Jup/Kdr/L1cam/Lama3/Lama5/Lamb1/Lamb2/Rpsa/Epcam/Lyn/Madcam1/Cd46/Mfge8/Afdn/Mmp14/Cd200/Msn/Myh9/Ndrg1/Neo1/Nf2/Ninj1/Nos2/Nos3/Ccn3/Ctnnd2/Nrxn1/Nrxn2/Numb/Fxyd5/P2rx4/P4hb/Pirb/Prkca/Pkp1/Lcp1/Ppp1ca/Prom1/Psen1/Ptn/Ptpn11/Ptpn2/Sirpa/Ptprb/Ptprd/Ptprf/Ptprj/Ptprm/Ptprz1/Nectin2/Pxn/Rdx/Cx3cl1/Cxcl12/Nptn/Sell/Sema7a/Spp1/Src/Syk/Tgfbi/Thbs1/Thbs4/Thy1/Timp2/Tjp1/Tjp2/Tln1/Utrn/Cdh23/Vcam1/Ezr/Vtn/Vwf/Ccn4/Ccn5/Fbln5/Tenm2/Tenm3/Tenm4/Itgb1bp2/Tjp3/Angptl3/Postn/Pvr/Sdcbp/Cldn7/Egfl6/Ctnnal1/Nphs1/Cadm1/Lgals8/Pkp3/Cib2/Gsk3b/Bcam/Cd200r1/Nectin1/Nectin3/Tspan4/Nisch/Jam2/Pkp2/Kirrel3/Plpp3/Rtn4/Nexn/Esam/Tln2/Shtn1/Esm1/Cdhr5/Izumo1/Icam4/Ntng1/Jam3/Gpnmb/Igsf9/Fgg/Emilin1/Cdh22/Itga9/Col16a1/Fermt3/Dsp/Itga1/Actn1/Fgb/Npnt/Dscaml1/Plxnb3/Kirrel/Itgb4/Nrg1/Itga10/Tspan8/Nlgn2/Fermt2/Pkp4/Frmd5/Dchs1/Prtg/Akap5/Cdh24/Itga8/Nlgn3/Ppia/Nfasc/Itga11/Nrcam/Itgb8/Adgrl1/Cdh26/Tbc1d2/Itgad/Gm1123/Isg15	6	92	247	14272	3.7683506424925186
