Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bgID	n_ovlp	tot_genes	n_bg_ovlp	tot_bg_genes	enrichment
cLEC	GO:0000323	lytic vacuole	11/51	456/14353	4.4587748499744916e-7	4.99382783197143e-5	3.5904871160320904e-5	Atp6v1a/Ctsd/Psap/Grn/Psen2/Prcp/H2-K1/Cd63/App/Lgmn/Fth1	11	Abca2/Ace/Acp2/Acp5/Ada/Adam8/Aga/Gla/Abcd1/Akr1b3/Ank3/Anxa11/Anxa6/Prdx6/Ap1b1/Ap1g1/Ap1m1/Ap1s1/Apoe/App/Arsb/Arsa/Asah1/Rab27a/Ass1/Atp6v1a/Atp6v0d1/Atp6v0c/Bcl10/Glb1/Anxa2/Calr/Capn1/Capn2/Cat/Rb1cc1/Cd1d1/Cd34/Scarb2/Cd63/Cd68/Clcn3/Clcn4/Tpp1/Cln3/Cxcr4/Crhbp/Cryab/Cryba1/Cst3/Cst7/Ctsb/Ctsc/Ctsd/Ctsg/Ctsh/Ctsk/Ctsl/Ctss/Ctsw/Cyb561/Dnase2a/Doc2a/Fgfr3/Akr1b8/Il4i1/Fnbp1/Fth1/Ftl1/Gaa/Galc/Gba/Bloc1s1/Ggh/Gja1/Ostm1/Gm2a/Got1/Gpc3/Grn/Gzmb/H2-Aa/H2-D1/H2-Eb1/H2-K1/H2-M2/H2-DMa/H2-DMb1/H2-DMb2/H2-Ob/H2-Q10/H2-Q2/H2-Q7/H2-T22/Hap1/Has2/Hck/Hexa/Hexb/Hgs/Hpse/Hspa8/Hsp90ab1/Hyal1/Hyal2/Ids/Idua/Irgm1/Ifnar1/Cd74/Il1b/Insr/Kif2a/Kif5b/Klc2/Lamp1/Lamp2/Laptm5/Ldlr/Lipa/Anxa1/M6pr/Marcks/Man2b1/Man2b2/Nprl3/Slc3a2/Fyco1/Mmp13/Mpz/Mt1/Laptm4a/Myo5a/Myo7a/Naga/Nbr1/Neu1/Npc1/Slc11a1/Slc11a2/Nsg1/Nsg2/Ocln/Sqstm1/P2ry2/Pde1c/Pdgfrb/Prf1/Pip4k2a/Prkcd/Pla2g5/Pld3/Ctsa/Ppt1/Srgn/Lgmn/Prtn3/Psap/Psen1/Psen2/Abcd4/Rab12/Rab3a/Rab7/Hps6/Slc7a5/Smpd1/Snapin/Snap23/Sod1/Sort1/Scarb1/Src/Stx3/Stxbp2/Vamp7/Tfeb/Tial1/Tnfaip3/Tmem165/Tsc2/Uba1/Vamp8/Siae/Slc30a3/Slc30a4/Bace1/Rnf13/Clcn7/Sgsh/Ncoa4/Tcirg1/Abca3/Naglu/Vps26a/Neu3/Galns/Hgsnat/Rragd/Stx7/Cd164/Vti1b/Rragc/Prss16/Cpq/Ppt2/Unc93b1/Syt7/Calcrl/Stx8/Bri3/Nprl2/Ramp3/Acpp/Abcb9/Tmem59/Rab9/Snx1/Ctsf/Gabarap/Sphk2/Lamtor3/Glmp/Mtor/Litaf/Tmem9b/Ncstn/Ctsz/Itm2c/Vps35/Slc15a3/Cubn/Ifi30/Abhd6/Lamtor4/Ifitm3/Serpinb1a/Tmem9/Atp6v1g1/Chmp4c/Borcs7/Ctrb1/Lamtor1/Ubxn6/Sppl2a/Cdip1/Chmp3/Lrrk2/Map1lc3a/Tspan1/Wdr45b/Fuca2/Plbd1/Mfsd1/Pcyox1/Vma21/Chmp1b/Naaa/Arl8b/Dram2/Cltc/Map1lc3b/Slc39a8/Wdr48/Slc48a1/Borcs5/Snx2/Akr1b10/Npc2/Chid1/Rnaset2b/Mcoln2/Rab14/Lmbrd1/Rraga/Lamtor5/Tab2/Ifitm1/Arl8a/Chmp2b/Chmp2a/Tmem97/Plekhm2/Ap5s1/Tmbim1/Ccdc115/Vps36/Tecpr1/Kptn/Unc13d/Atp6ap2/Rnf167/Gpr137c/Spag9/Slc29a3/Spaar/Fuca1/Tmem25/Slc46a3/Dram1/Vps11/Plbd2/Tmem106b/Tmem79/Borcs6/Seh1l/Trim29/Mfsd8/Snx6/Plekhf1/Nkg7/Borcs8/Tmem175/Rab38/Prcp/Pip4p2/Tmem192/C9orf72/Sppl2b/Cybrd1/Spns1/Bloc1s2/Mfsd12/Arsg/Abcb6/Tm9sf1/Ctbs/Meak7/Rptor/Clec16a/Ap5m1/Snx16/Atp13a2/Slc35f6/Rnf19b/Chmp4b/Gns/Kxd1/Rmc1/Chmp5/Atg16l1/Arsk/Vps33a/Rnase6/Uvrag/Vps16/Ifitm2/Lrba/Trim23/Tlr9/Lamtor2/Ctns/Dpp7/Gpr137b/Mcoln1/Tinagl1/Slc15a4/Itfg2/Arrdc3/Epdr1/Chmp7/Trip10/Lars/Gpr137/Ffar4/Tm6sf1/Ap1s2/Ank2/Hyal3/Gusb/Manba/Sec13/H2-Q6/Laptm4b/Vps4a/Znrf1/Bbc3/Mlc1/Shkbp1/Hps4/Wdr81/Pla2g15/Chmp6/Tmem63a/Dtx3l/Cln5/Zfyve26/Slc39a14/Gnptg/Sidt2/4930486L24Rik/Slc36a1/Fnip1/Flcn/Abca5/Vps41/Pip4p1/Klhl22/Slc49a4/Pik3c3/Plaat3/Cyb561a3/Rab7b/Slc2a6/Vps18/Ctso/Syt11/Szt2/Tmem150c/Ccz1/Eva1a/Vps33b/Tpcn2/Slc38a7/Dync1li2/Chmp1a/Slc36a4/Slc17a5/Dync1li1/Tmem74/H2-M5/Lrrc8a/Slc7a14/Snx14/Rragb/Ankrd27/Mios/Ap1s3/Tpcn1/Gga3/Slc26a11/Slc38a9/Wdr24/Vps39/Vps13a/Depdc5/Rilp/Gimap5/Wdr59/Atp10b/Rps6kc1/Rnf152/Vps13c/Fnip2/Pon2/Plekhm1/H2-Eb2/Mreg/Atraid/Znrf2/Gnptab/Creg1/Vps13b/Rnaset2a/Rubcn/Epg5	11	51	456	14353	6.788914688682491
cLEC	GO:0005764	lysosome	11/51	456/14353	4.4587748499744916e-7	4.99382783197143e-5	3.5904871160320904e-5	Atp6v1a/Ctsd/Psap/Grn/Psen2/Prcp/H2-K1/Cd63/App/Lgmn/Fth1	11	Abca2/Ace/Acp2/Acp5/Ada/Adam8/Aga/Gla/Abcd1/Akr1b3/Ank3/Anxa11/Anxa6/Prdx6/Ap1b1/Ap1g1/Ap1m1/Ap1s1/Apoe/App/Arsb/Arsa/Asah1/Rab27a/Ass1/Atp6v1a/Atp6v0d1/Atp6v0c/Bcl10/Glb1/Anxa2/Calr/Capn1/Capn2/Cat/Rb1cc1/Cd1d1/Cd34/Scarb2/Cd63/Cd68/Clcn3/Clcn4/Tpp1/Cln3/Cxcr4/Crhbp/Cryab/Cryba1/Cst3/Cst7/Ctsb/Ctsc/Ctsd/Ctsg/Ctsh/Ctsk/Ctsl/Ctss/Ctsw/Cyb561/Dnase2a/Doc2a/Fgfr3/Akr1b8/Il4i1/Fnbp1/Fth1/Ftl1/Gaa/Galc/Gba/Bloc1s1/Ggh/Gja1/Ostm1/Gm2a/Got1/Gpc3/Grn/Gzmb/H2-Aa/H2-D1/H2-Eb1/H2-K1/H2-M2/H2-DMa/H2-DMb1/H2-DMb2/H2-Ob/H2-Q10/H2-Q2/H2-Q7/H2-T22/Hap1/Has2/Hck/Hexa/Hexb/Hgs/Hpse/Hspa8/Hsp90ab1/Hyal1/Hyal2/Ids/Idua/Irgm1/Ifnar1/Cd74/Il1b/Insr/Kif2a/Kif5b/Klc2/Lamp1/Lamp2/Laptm5/Ldlr/Lipa/Anxa1/M6pr/Marcks/Man2b1/Man2b2/Nprl3/Slc3a2/Fyco1/Mmp13/Mpz/Mt1/Laptm4a/Myo5a/Myo7a/Naga/Nbr1/Neu1/Npc1/Slc11a1/Slc11a2/Nsg1/Nsg2/Ocln/Sqstm1/P2ry2/Pde1c/Pdgfrb/Prf1/Pip4k2a/Prkcd/Pla2g5/Pld3/Ctsa/Ppt1/Srgn/Lgmn/Prtn3/Psap/Psen1/Psen2/Abcd4/Rab12/Rab3a/Rab7/Hps6/Slc7a5/Smpd1/Snapin/Snap23/Sod1/Sort1/Scarb1/Src/Stx3/Stxbp2/Vamp7/Tfeb/Tial1/Tnfaip3/Tmem165/Tsc2/Uba1/Vamp8/Siae/Slc30a3/Slc30a4/Bace1/Rnf13/Clcn7/Sgsh/Ncoa4/Tcirg1/Abca3/Naglu/Vps26a/Neu3/Galns/Hgsnat/Rragd/Stx7/Cd164/Vti1b/Rragc/Prss16/Cpq/Ppt2/Unc93b1/Syt7/Calcrl/Stx8/Bri3/Nprl2/Ramp3/Acpp/Abcb9/Tmem59/Rab9/Snx1/Ctsf/Gabarap/Sphk2/Lamtor3/Glmp/Mtor/Litaf/Tmem9b/Ncstn/Ctsz/Itm2c/Vps35/Slc15a3/Cubn/Ifi30/Abhd6/Lamtor4/Ifitm3/Serpinb1a/Tmem9/Atp6v1g1/Chmp4c/Borcs7/Ctrb1/Lamtor1/Ubxn6/Sppl2a/Cdip1/Chmp3/Lrrk2/Map1lc3a/Tspan1/Wdr45b/Fuca2/Plbd1/Mfsd1/Pcyox1/Vma21/Chmp1b/Naaa/Arl8b/Dram2/Cltc/Map1lc3b/Slc39a8/Wdr48/Slc48a1/Borcs5/Snx2/Akr1b10/Npc2/Chid1/Rnaset2b/Mcoln2/Rab14/Lmbrd1/Rraga/Lamtor5/Tab2/Ifitm1/Arl8a/Chmp2b/Chmp2a/Tmem97/Plekhm2/Ap5s1/Tmbim1/Ccdc115/Vps36/Tecpr1/Kptn/Unc13d/Atp6ap2/Rnf167/Gpr137c/Spag9/Slc29a3/Spaar/Fuca1/Tmem25/Slc46a3/Dram1/Vps11/Plbd2/Tmem106b/Tmem79/Borcs6/Seh1l/Trim29/Mfsd8/Snx6/Plekhf1/Nkg7/Borcs8/Tmem175/Rab38/Prcp/Pip4p2/Tmem192/C9orf72/Sppl2b/Cybrd1/Spns1/Bloc1s2/Mfsd12/Arsg/Abcb6/Tm9sf1/Ctbs/Meak7/Rptor/Clec16a/Ap5m1/Snx16/Atp13a2/Slc35f6/Rnf19b/Chmp4b/Gns/Kxd1/Rmc1/Chmp5/Atg16l1/Arsk/Vps33a/Rnase6/Uvrag/Vps16/Ifitm2/Lrba/Trim23/Tlr9/Lamtor2/Ctns/Dpp7/Gpr137b/Mcoln1/Tinagl1/Slc15a4/Itfg2/Arrdc3/Epdr1/Chmp7/Trip10/Lars/Gpr137/Ffar4/Tm6sf1/Ap1s2/Ank2/Hyal3/Gusb/Manba/Sec13/H2-Q6/Laptm4b/Vps4a/Znrf1/Bbc3/Mlc1/Shkbp1/Hps4/Wdr81/Pla2g15/Chmp6/Tmem63a/Dtx3l/Cln5/Zfyve26/Slc39a14/Gnptg/Sidt2/4930486L24Rik/Slc36a1/Fnip1/Flcn/Abca5/Vps41/Pip4p1/Klhl22/Slc49a4/Pik3c3/Plaat3/Cyb561a3/Rab7b/Slc2a6/Vps18/Ctso/Syt11/Szt2/Tmem150c/Ccz1/Eva1a/Vps33b/Tpcn2/Slc38a7/Dync1li2/Chmp1a/Slc36a4/Slc17a5/Dync1li1/Tmem74/H2-M5/Lrrc8a/Slc7a14/Snx14/Rragb/Ankrd27/Mios/Ap1s3/Tpcn1/Gga3/Slc26a11/Slc38a9/Wdr24/Vps39/Vps13a/Depdc5/Rilp/Gimap5/Wdr59/Atp10b/Rps6kc1/Rnf152/Vps13c/Fnip2/Pon2/Plekhm1/H2-Eb2/Mreg/Atraid/Znrf2/Gnptab/Creg1/Vps13b/Rnaset2a/Rubcn/Epg5	11	51	456	14353	6.788914688682491
cLEC	GO:0045121	membrane raft	8/51	319/14353	1.5111053438803683e-5	8.655854522828414e-4	6.223429238687723e-4	Ctsd/Psen2/Plcd1/App/Cd36/Tubb5/Cd24a/Kdr	8	Abca1/Chrnb2/Actb/Adam17/Adcy6/Adcyap1r1/Adrb2/Angpt1/Slc25a4/Slc25a5/Birc3/Birc2/App/Aqp1/Arc/Atp1a1/Atp1b1/Atp1b3/Atp2b2/Atp5a1/Atp5b/Atp7a/Bcl10/Bmpr1a/Bmpr2/Bsg/Btk/Cacna1c/Anxa2/Capn2/Cask/Casp3/Casp8/Ctnna1/Ctnnb1/Ctnnd1/Cav1/Cav2/Cbl/Serpinh1/Cd14/Cd2/Ms4a1/Cd24a/Cd28/Cd36/Cd44/Cd48/Cd79a/Cdh1/Cdh13/Cdh2/Cel/Cflar/Tpp1/Cln3/Cnr1/Cntn1/Cpe/Crk/Cr1l/Csk/Ctsb/Ctsd/Cxadr/Cd55/Cd55b/Dag1/Dapk3/Slc6a3/Dlg1/Dll1/Dmd/Drd1/Arid3a/Ednra/Ednrb/Eef2/Efnb1/Egfr/Emp2/Eno1/Eno2/Stom/Stx2/Erbb2/F2r/Fadd/Fas/Fcer1g/Fcgr2b/Flot1/Flot2/Fyn/Gja1/Gnai1/Gnai2/Gnai3/Gnaq/Gnas/Lrp2/Pdpn/Gpc1/Gpm6b/H2-D1/Has2/Hck/Hdac6/Hk1/Hmgb1/Hmox1/Hpse/Hspa8/Hspd1/Hspa1b/Hyal2/Icam1/Igf1r/Il6st/Insr/Irs1/Itgam/Itgb1/Itgb2/Itpr1/Jak2/Kcna5/Kcnma1/Kcnn4/Kdr/Kras/L1cam/Lamp2/Lck/Lcp2/Ldhb/Ldlr/Lipe/Lrp6/Lrp8/Lyn/Mal/Mme/Mapt/Myo1c/Nedd4/Nf2/Ngfr/Nos3/Npc1/P2rx1/P2rx7/Furin/Pecam1/Pgk1/Pikfyve/Prkaca/Prkca/Prkcz/Plcd1/Pld2/Plscr2/Plpp1/Ppp2ca/Ppt1/Prkar1a/Prkar2a/Prkar2b/Prnp/Prtn3/Psen1/Psen2/Ptch1/Ptgis/Ptgs2/Ptk2b/Ptpn11/Ptprc/Cavin1/Ret/Rgs16/Ripk1/S100a10/Scn5a/Cavin2/Sele/Selplg/Sorbs1/Slc1a1/Slc1a2/Slc2a1/Slc2a3/Slc2a4/Slc9a1/Smpd2/Scarb1/Src/Stat6/Stim1/Sdc4/Tek/Tfpi/Tgfbr1/Tgfbr2/Thy1/Tlr1/Tlr4/Tlr6/Tnf/Tnfrsf10b/Tnfrsf1a/Tnfrsf1b/Traf2/Plscr1/Trpc1/Tsc2/Tshr/Tuba1a/Tuba1b/Tuba1c/Tubb5/Vcl/Vdac2/Vdr/Ezr/Zap70/Coro1c/Pacsin2/Rgs7/Tlr2/Abcg2/Mapk1/Mapk3/Slc27a1/Abcg3/Iqgap1/Dlc1/Plpp2/Prkn/Myadm/Sdcbp/Gabbr1/Asah2/Nphs1/Fxyd1/Chp1/Rgs19/Gsk3b/Lat2/Park7/Kcne3/Rangrf/Cacna1h/Pdzk1/Slc5a7/Gprc5b/Ahnak/Lamtor1/Stoml2/Lrrk2/Pllp/Plpp3/Atp2b1/Sis/Nos1ap/Tradd/Ppp2r1b/Rap2b/Mdga1/Rftn1/Cln6/Clip3/Tnfrsf23/Cblc/Plvap/Pi4k2a/Pag1/Atp1a2/Stx12/Ano1/Adcy3/Rhoq/Unc5b/Card11/Cavin3/Orai1/Ank2/Itga1/Grk2/Kirrel/Usp48/Mlc1/Prom2/Hspa1a/Pde2a/Ghsr/Cblb/Adcy5/Myof/Lrp4/Kif18a/Mall/Stoml3/Nae1/Rtn4rl1/Akap6/Akap5/Sulf1/Erlin2/Ehd2/Ephb1/Rab5a/Adam1a/Smo/Grk3/Myo1d/Atp2b4/Myo1a/Eno1b	8	51	319	14353	7.057840063925257
cLEC	GO:0098857	membrane microdomain	8/51	320/14353	1.545688307647931e-5	8.655854522828414e-4	6.223429238687723e-4	Ctsd/Psen2/Plcd1/App/Cd36/Tubb5/Cd24a/Kdr	8	Abca1/Chrnb2/Actb/Adam17/Adcy6/Adcyap1r1/Adrb2/Angpt1/Slc25a4/Slc25a5/Birc3/Birc2/App/Aqp1/Arc/Atp1a1/Atp1b1/Atp1b3/Atp2b2/Atp5a1/Atp5b/Atp7a/Bcl10/Bmpr1a/Bmpr2/Bsg/Btk/Cacna1c/Anxa2/Capn2/Cask/Casp3/Casp8/Ctnna1/Ctnnb1/Ctnnd1/Cav1/Cav2/Cbl/Serpinh1/Cd14/Cd2/Ms4a1/Cd24a/Cd28/Cd36/Cd44/Cd48/Cd79a/Cdh1/Cdh13/Cdh2/Cel/Cflar/Tpp1/Cln3/Cnr1/Cntn1/Cpe/Crk/Cr1l/Csk/Ctsb/Ctsd/Cxadr/Cd55/Cd55b/Dag1/Dapk3/Slc6a3/Dlg1/Dll1/Dmd/Drd1/Arid3a/Ednra/Ednrb/Eef2/Efnb1/Egfr/Emp2/Eno1/Eno2/Stom/Stx2/Erbb2/F2r/Fadd/Fas/Fcer1g/Fcgr2b/Flot1/Flot2/Fyn/Gja1/Gnai1/Gnai2/Gnai3/Gnaq/Gnas/Lrp2/Pdpn/Gpc1/Gpm6b/H2-D1/Has2/Hck/Hdac6/Hk1/Hmgb1/Hmox1/Hpse/Hspa8/Hspd1/Hspa1b/Hyal2/Icam1/Igf1r/Il6st/Insr/Irs1/Itgam/Itgb1/Itgb2/Itpr1/Jak2/Kcna5/Kcnma1/Kcnn4/Kdr/Kras/L1cam/Lamp2/Lck/Lcp2/Ldhb/Ldlr/Lipe/Lrp6/Lrp8/Lyn/Mal/Mme/Mapt/Myo1c/Nedd4/Nf2/Ngfr/Nos3/Npc1/P2rx1/P2rx7/Furin/Pecam1/Pgk1/Pikfyve/Prkaca/Prkca/Prkcz/Plcd1/Pld2/Plscr2/Plpp1/Ppp2ca/Ppt1/Prkar1a/Prkar2a/Prkar2b/Prnp/Prtn3/Psen1/Psen2/Ptch1/Ptgis/Ptgs2/Ptk2b/Ptpn11/Ptprc/Cavin1/Ret/Rgs16/Ripk1/S100a10/Scn5a/Cavin2/Sele/Selplg/Sorbs1/Slc1a1/Slc1a2/Slc2a1/Slc2a3/Slc2a4/Slc9a1/Smpd2/Scarb1/Src/Stat6/Stim1/Sdc4/Tek/Tfpi/Tgfbr1/Tgfbr2/Thy1/Tlr1/Tlr4/Tlr6/Tnf/Tnfrsf10b/Tnfrsf1a/Tnfrsf1b/Traf2/Plscr1/Trpc1/Tsc2/Tshr/Tuba1a/Tuba1b/Tuba1c/Tubb5/Vcl/Vdac2/Vdr/Ezr/Zap70/Coro1c/Pacsin2/Rgs7/Tlr2/Abcg2/Mapk1/Mapk3/Slc27a1/Dysf/Abcg3/Iqgap1/Dlc1/Plpp2/Prkn/Myadm/Sdcbp/Gabbr1/Asah2/Nphs1/Fxyd1/Chp1/Rgs19/Gsk3b/Lat2/Park7/Kcne3/Rangrf/Cacna1h/Pdzk1/Slc5a7/Gprc5b/Ahnak/Lamtor1/Stoml2/Lrrk2/Pllp/Plpp3/Atp2b1/Sis/Nos1ap/Tradd/Ppp2r1b/Rap2b/Mdga1/Rftn1/Cln6/Clip3/Tnfrsf23/Cblc/Plvap/Pi4k2a/Pag1/Atp1a2/Stx12/Ano1/Adcy3/Rhoq/Unc5b/Card11/Cavin3/Orai1/Ank2/Itga1/Grk2/Kirrel/Usp48/Mlc1/Prom2/Hspa1a/Pde2a/Ghsr/Cblb/Adcy5/Myof/Lrp4/Kif18a/Mall/Stoml3/Nae1/Rtn4rl1/Akap6/Akap5/Sulf1/Erlin2/Ehd2/Ephb1/Rab5a/Adam1a/Smo/Grk3/Myo1d/Atp2b4/Myo1a/Eno1b	8	51	320	14353	7.0357843137254905
cLEC	GO:0045177	apical part of cell	8/51	367/14353	4.1233908560663705e-5	0.001847279103517734	0.001328165896796115	Actg1/Atp6v1a/Psen2/Dab2/App/Cd36/Lgmn/Adgrf5	8	Actg1/Acvr1/Adam17/Adrb2/Ager/Anxa4/Anxa6/Ap2a1/Birc5/App/Aqp1/Aqp5/Rab27a/Atp1a1/Atp1b1/Atp1b2/Atp1b3/Atp2b2/Atp6v1a/Atp6v1b2/Atp6v0d1/Atp6v1e1/Atp7a/Atp7b/Slc7a1/Bmpr2/C5ar1/Cacna1d/Cacnb3/Aspm/Car2/Car4/Casr/Ctnnb1/Cav1/Cd34/Cd36/Cd44/Cd81/Cd9/Cdc42/Cdh1/Cdh2/Cftr/Chl1/Patj/Clcn3/Clcn5/Cldn4/Cntfr/Ctsb/Ctsl/Cyba/Dab1/Dab2/Cd55/Cd55b/Dll1/Dpep1/Dpp4/Dsg1a/Dsg2/Slc26a2/Dvl2/Eda/Egfr/Emp2/Enpep/Eps15/Erbb2/Erbb3/Ptk2/Fap/Fas/Fat1/Fn1/Fzd3/Fzd6/Gja1/Gjb6/Slc6a9/Gnat1/Lrp2/Pdpn/Pdia3/Hfe/Hsd11b1/Hspa1b/Hsp90ab1/Hsp90aa1/Hyal2/Igfbp2/Il18/Il6ra/Itgb3/Itpr3/Jag1/Kcna5/Kcnb1/Kcnk1/Kcnk2/Kcnma1/Kcnn4/Ldlr/Anxa1/Lrp1/Muc13/Epcam/Mal/Abcc1/Slc3a2/Afdn/Mpdz/Msn/Muc1/Myh9/Myo1b/Myo5b/Myo6/Myo7a/Nedd1/Nf2/Nin/Nos3/Notch1/Slc11a2/Ddr2/Numb/Ocln/Slc22a18/Osmr/Oxtr/P2rx4/P2ry2/Pcm1/Pdgfrb/Pfkm/Abcb1b/Abcb1a/Prkca/Prkci/Prkcz/Plat/Pld1/Plec/Plpp1/Prom1/Lgmn/Psen1/Psen2/Ptch1/Pten/Pth1r/Rdx/Scnn1a/Scnn1b/Slc12a2/Slc12a3/Slc16a1/Slc16a2/Slc19a1/Slc1a1/Slc22a5/Slc23a1/Slc2a1/Slc3a1/Slc4a2/Slc7a5/Slc9a1/Spp1/Stc1/Stx3/Stx4a/Stxbp2/Stxbp3/Vamp7/Slc6a6/Tek/Tgfbr1/Thy1/Tjp1/Trf/Upk1b/Upk2/Upk3a/Usp9x/Cdh23/Vamp3/Vcam1/Ezr/Vldlr/Slc6a20b/Hax1/Nlrp5/Pebp1/Abcg2/Btd/Ceacam1/Cetn2/Psg17/Homer1/Homer2/Slc7a11/Tcirg1/Podxl/Sytl4/Srr/Tjp3/Abca7/Abcc5/Shroom3/Hip1r/Iqgap1/Clic4/Slc22a4/Nox4/Slc7a8/Slc46a1/Cd300lg/Bysl/Stk39/Slc5a3/Slc23a2/Epb41l4b/Atp8b1/Fxyd1/Acpp/Amotl2/Rapgef4/Pard6a/Slc22a21/Mgst1/Slc15a1/Slc15a2/Kcne4/Pard6b/Akr1a1/Pdzk1/Slc29a1/Slc5a7/Cubn/Ifitm3/Atp6v1c1/Duoxa2/Mtdh/Dram2/Slc39a8/Myl12b/Atp2b1/Pdzd2/Rab14/Gpihbp1/Slc30a5/Svbp/Bst2/Exoc1/Ace2/Slc44a4/Reep6/Stk26/Atp6ap2/Spef1/Acy3/C2cd2l/Shroom1/Snx10/Slc39a4/Cdhr5/Cyp4f18/Sapcd2/Slc43a1/Pard3b/Cybrd1/Slc25a27/Hvcn1/Sipa1l3/Cfap126/Amotl1/Rapgef2/Gpsm2/Slc38a3/Car12/Plet1/Slc9a8/Ocel1/Tchp/Ecrg4/Rab27b/Slc16a3/Tlr9/Hamp/Pard6g/Pard3/Amn/Vangl2/Slco2b1/Numa1/Ano1/Arhgef18/Slc6a20a/Slc6a8/Tubg1/Slc38a1/Scrib/Prkaa1/Prkaa2/Prkab2/Upk1a/Dync2h1/Grk2/Shroom2/Atp6v1b1/Zmynd10/Slc2a9/Muc4/Mlc1/Slc26a6/Prom2/Rapgef6/Ripor2/Hspa1a/BC034090/Shroom4/Shank2/Lzts1/Nrg1/Slc39a14/Dstyk/Dync2li1/Cep164/Duox2/Slc5a8/Itpk1/Marveld2/Slc4a7/Rapgef3/Cldnd1/Adgrf5/Crb3/Trpm6/Lct/Ahcyl1/P2rx2/Dchs1/Insc/Adgrg2/Npc1l1/Vash1/Abcc4/Slc2a13/Itga8/Gnat3/Slc29a4/Myrip/Otoa/Slc4a11/Adcy10/C5ar2/Frmd6/Fat4/Lmo7/Akap7/Myo1a/Specc1/Sptbn5/Tnik/Tomt	8	51	367	14353	6.134743815782444
cLEC	GO:0031904	endosome lumen	2/51	10/14353	5.46998948761109e-4	0.013614196058054268	0.009788402240988266	Ctsd/Cd63	2	Cd63/Ctsd/Ctss/Gapdh/Hspa8/Ide/Il12a/Ptpn1/Ptpn2/Pdlim4	2	51	10	14353	56.286274509803924
cLEC	GO:0098553	lumenal side of endoplasmic reticulum membrane	2/51	11/14353	6.67035309290351e-4	0.01494159092810386	0.01074277919172881	H2-K1/Canx	2	Canx/H13/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-T23/Pkd2/Sppl2a/Sppl2b/Sppl3	2	51	11	14353	51.16934046345811
cLEC	GO:0035253	ciliary rootlet	2/51	14/14353	0.0010961383961126084	0.022321363702656753	0.016048724842605656	Psen2/App	2	App/Kif5a/Kif5b/Kif5c/Klc1/Klc2/Psen1/Psen2/Nek4/Spag5/Rab28/Crocc/Klc3/Rpgrip1l	2	51	14	14353	40.20448179271709
cLEC	GO:0098576	lumenal side of membrane	2/51	15/14353	0.001261904196200185	0.023555544995736786	0.016936082633213008	H2-K1/Canx	2	Canx/Dmd/H13/H2-D1/H2-K1/H2-Q10/H2-Q7/H2-T23/Nucb1/Pkd2/Pam16/Sppl2a/Dnajc19/Sppl2b/Sppl3	2	51	15	14353	37.52418300653594
cLEC	GO:0034364	high-density lipoprotein particle	2/51	21/14353	0.0024896586458325134	0.04289873358972946	0.03084354435727729	App/Clu	2	Apoa1/Apoa2/Apoc1/Apoe/App/Clu/Gpld1/Hp/Lipc/Lcat/Pltp/Saa3/Pla2g7/Apol9b/Hdlbp/Apol9a/Apol8/Apol10a/Apol10b/Apol11b/Apol11a	2	51	21	14353	26.80298786181139
