Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bgID	n_ovlp	tot_genes	n_bg_ovlp	tot_bg_genes	enrichment
cLEC	GO:0005604	basement membrane	7/66	95/14353	2.5203210020613103e-7	4.813813113937103e-5	3.9529245190224766e-5	Hmcn1/Col4a2/Col4a1/Itgb1/Fn1/Lama4/Lamc1	7	Ache/Acta2/Adamts1/Agrn/Ang/Anxa2/Cask/Runx1/Cd151/Entpd1/Entpd2/Col15a1/Col17a1/Col18a1/Col4a1/Col4a2/Col4a4/Col4a5/Col5a1/Col7a1/Col8a1/Smc3/Cst3/Dag1/Dlg1/Efna5/Fbln1/Fbn1/Fgf9/Fn1/Gsto1/Hspg2/Itga6/Itgb1/Lama1/Lama2/Lama3/Lama4/Lama5/Lamb1/Lamb2/Lamb3/Lamc2/Rpsa/Loxl1/Matn2/Nid1/Nid2/Ntn1/Ntn3/Pmp22/Ptn/Serpinf1/Sparc/Spn/Tgfb2/Tgfbi/Thbs2/Thbs4/Timp1/Timp2/Timp3/Tnc/Trf/Vegfa/Vtn/Cfdp1/Egfl6/Nphs1/P3h1/Ntn4/Efemp2/Smoc2/Smoc1/Ccdc80/Pxdn/Col4a6/Loxl2/Mmrn2/Npnt/Itgb4/P3h2/Col28a1/Efemp1/Rell2/Lamc1/Megf9/Col23a1/Vwa2/Frem2/Vwa1/Egflam/Frem1/Hmcn1/Hmcn2	7	66	95	14353	16.02408293460925
cLEC	GO:0014704	intercalated disc	4/66	58/14353	1.4355440793628312e-4	0.005483778383166015	0.004503075112106566	Pgm5/Itgb1/Gja1/Dst	4	Adra1b/Ank3/Anxa5/Anxa6/Atp1a1/Atp1b1/Atp2a2/Ctnna1/Ctnnb1/Cdh2/Cxadr/Des/Dsc2/Dsg2/Dst/Ptk2/Fgf13/Gja1/Gja5/Itgb1/Jup/Kcna5/Kcnj11/Kcnj2/Nrap/Pak1/Pik3ca/Prkca/Scn1a/Scn1b/Scn5a/Slc2a1/Slc31a1/Slc8a1/Slc9a1/Sptan1/Tjp1/Vcl/Ywhah/Vamp5/Fxyd1/Rangrf/Pkp2/Tln2/Tmem65/Ankrd23/Hamp/Atp1a2/Camk2d/Dsp/Ank2/Actn1/Pgm5/Fhod1/Akap6/Gm1123/Scn4b/Gja6	4	66	58	14353	14.997910135841172
cLEC	GO:0030056	hemidesmosome	2/66	10/14353	9.151271052073674e-4	0.024969896727801023	0.02050435168058613	Itgb1/Dst	2	Col17a1/Dst/Itga6/Itgb1/Lama3/Plec/Erbin/Actr3/Itgb4/Eppk1	2	66	10	14353	43.4939393939394
cLEC	GO:0043083	synaptic cleft	2/66	17/14353	0.0027088697966597473	0.04311358822114937	0.035403277183528564	Lama4/Lamc1	2	Ache/Agrn/Apoe/Lama2/Lama4/Lama5/Lamb2/Nptx1/Prss12/Slc1a1/C1ql1/Nptx2/Gria3/Lgi1/Dnm3/Lamc1/C1ql3	2	66	17	14353	25.584670231729056
cLEC	GO:0098797	plasma membrane protein complex	7/66	412/14353	0.002765049994879786	0.04311358822114937	0.035403277183528564	Pgm5/Itgb1/Gja1/Pde4d/Ramp2/Hmgb1/Scn3a	7	Chrnb1/Chrnb2/Acvr1/Acvr1b/Acvr2a/Acvr2b/Acvrl1/Adam8/Alcam/Ap2a1/Ap2a2/Ap2m1/Apc/Birc2/Atp1a1/Atp1b1/Atp1b2/Atp1b3/Fxyd2/Atp6v0d1/B2m/Bmp2/Cacna1a/Cacna1b/Cacna1c/Cacna1d/Cacna1e/Cacna1s/Cacna2d1/Cacna2d3/Cacnb1/Cacnb2/Cacnb3/Cacnb4/Cacng1/Anxa2/Calm1/Calm2/Calm3/Casp3/Casp8/Ctnna1/Ctnna2/Ctnnb1/Ctnnd1/Cav1/Cav2/Cbl/Cbr1/Cd3d/Cd3e/Cd3g/Cd247/Cd6/Cd79a/Cdh1/Cdh11/Cdh13/Cdh2/Cdh3/Cdh4/Cdh5/Cdh6/Cflar/Chuk/Patj/Clta/Cnih2/Cntfr/Csf2/Csf2ra/Csf2rb/Csf2rb2/Cttn/Cyba/Cybb/Dab2/Dag1/Slc6a3/Dlg1/Dlg4/Dmd/Dtna/Eps15/Eps15l1/Eps8/Erbb2/Erbb3/Fadd/Fas/Fcer1g/Flot1/Flot2/Fzd8/Gja1/Gja4/Gja5/Gjc1/Gjb2/Gjb6/Glrb/Gna11/Gna12/Gna13/Gna14/Gna15/Gnai1/Gnai2/Gnai3/Gnal/Gnao1/Gnaq/Gnas/Gnat1/Gnat2/Gnaz/Gnb1/Gnb2/Gnb3/Gnb4/Gnb5/Gng10/Gng12/Gng2/Gng3/Gng5/Gng7/Gng8/Gngt2/Gp5/Grb2/Gria4/Grik5/Grin2d/H2-Aa/H2-Ab1/H2-D1/H2-Eb1/H2-K1/H2-M2/H2-M3/H2-DMa/H2-DMb1/H2-DMb2/H2-Oa/H2-Ob/H2-Q10/H2-Q2/H2-Q4/H2-Q7/H2-T22/H2-T23/Mr1/Hcn1/Hcn2/Ptpn6/Hfe/Hmgb1/Hspa2/Cd79b/Igf1/Igf1r/Ighm/Cd74/Ikbkb/Il12a/Il12rb1/Il12rb2/Il18r1/Il6/Il6ra/Il6st/Inha/Insr/Irs1/Itga2/Itga2b/Itga3/Itga4/Itga5/Itga6/Itga7/Itgae/Itgal/Itgam/Itgav/Itgax/Itgb1/Itgb2/Itgb3/Itgb5/Itgb6/Itgb7/Jak2/Jup/Kcna2/Kcna5/Kcna6/Kcnab1/Kcnab2/Kcnab3/Kcnb1/Kcnc3/Kcnd1/Kcnh1/Kcnh2/Kcnj11/Kcnj2/Kcnj8/Kcnk1/Kcnk2/Kcnma1/Sspn/Krt19/Krt8/Lrp1/Lrp6/Lyn/Slc3a2/Mpdz/Ncf1/Ncf2/Ncf4/Neo1/Osmr/Pde4b/Prkca/Plp1/Pmp22/Psen1/Psen2/Ptk2b/Ret/Ripk1/S100a10/Khdrbs1/Scn1a/Scn1b/Scn3a/Scn5a/Scn7a/Scn8a/Sgce/Sorbs1/Shc1/Slc7a5/Snap91/Snta1/Sntb1/Sntb2/Abcc8/Abcc9/Syk/Slc6a6/Tgfb1/Tgfb3/Tgfbr1/Tgfbr2/Tgfbr3/Tlr1/Tlr6/Cd40/Traf1/Traf2/Traf3/Traf4/Traf5/Traf6/Trf/Tfrc/Sumo1/Utrn/Cdh23/Vcam1/Lin7c/Wnt9b/Zap70/Coro1c/Apc2/Insrr/Scn11a/Sgcb/Sgcd/Tlr2/Ceacam1/Tspan32/Nox4/Tfr2/Tnk2/Ramp1/Dlg3/Sdcbp/Gria3/Porcn/Slc5a3/Cacng4/Gabbr1/Ramp2/Apbb1ip/Calcrl/Tyk2/Ramp3/Olfm1/Kcne3/Kcne4/Cacna1h/Kcnmb4/Evc/Ncstn/Kcnq4/Htra2/Gng11/Abhd6/Psenen/Ahnak/Diablo/Catsperz/Cltc/Atp1b4/Aph1c/Nrn1/Evc2/Tmed10/C8g/Ap2b1/Noxo1/Tbc1d5/Shisa9/Sgip1/Iqce/Cltb/Mpp7/Abhd12/Lrg1/Ston1/Trat1/Cpt1c/Stxbp5/Tnfrsf23/Cacng7/Il23a/Sacm1l/Atp1a2/Duox1/Emilin1/Akap9/Cdh22/Synj1/Itga9/Catsperd/Chrnb4/Fxyd4/Ston2/Itga1/H2-Q6/Grik4/Iglc1/Gjc2/Flna/Itgb4/Aph1b/Catsper2/Itga10/Duox2/Crb3/Kcng3/Ticam2/Pgm5/Aph1a/Lrrc26/Amigo1/Efcab7/Ap2s1/Picalm/Dchs1/Scn3b/Nox1/Stac3/Pde4d/Cdh24/Gpr156/H2-M5/Kcng2/Itga8/Noxa1/Grin3a/Gnat3/Sgcz/Olfm2/Fcgr4/Sntg2/Rnf31/Dpp10/Acvr1c/Itga11/Cacna2d4/Cachd1/Itgb8/Hcn4/Shisa6/Ighd/H2-Eb2/Cdh26/Itgad/Scn4b/Gja6/Shisa8/Chrna10/Catspere2/Trac/Trbc1/Trbc2	7	66	412	14353	3.6948734922035893
cLEC	GO:0005882	intermediate filament	3/66	64/14353	0.00316760232973007	0.04311358822114937	0.035403277183528564	Gja1/Vim/Dst	3	Macf1/Adora2a/Bfsp1/Des/Dmd/Dst/Dyrk1a/Evpl/Fer/Gja1/Hspa8/Eif6/Jup/Krt10/Krt14/Krt17/Krt18/Krt19/Krt36/Krt8/Lmna/Lmnb1/Lmnb2/Mns1/Myo5a/Nes/Nefm/Nme1/Nme2/Nrp1/Cldn11/Pcp4/Plec/Ppl/Rtn2/Vim/Tlk2/Slc1a4/Pkp2/Narf/Sync/Krt28/Lmntd2/Krt80/Upp2/Tchp/Csnk1a1/Ldlrap1/Fam83h/Vmac/Bfsp2/Dsp/Krt5/Krt7/Shank2/Iffo2/Fbf1/Eppk1/Synm/Krt222/Iffo1/Nefh/Krt87/Krt77	3	66	64	14353	10.193892045454545
cLEC	GO:0031462	Cul2-RING ubiquitin ligase complex	2/66	19/14353	0.003385883891713302	0.04311358822114937	0.035403277183528564	Commd1/Elob	2	Fem1a/Fem1b/Commd1/Vhl/Rbx1/Asb4/Appbp2/Zswim6/Elob/Klhdc2/Cul2/Klhdc3/Klhdc10/Glmn/Zswim4/Zer1/Fem1c/Zswim8/Zyg11b	2	66	19	14353	22.891547049441787
cLEC	GO:0001726	ruffle	4/66	146/14353	0.004544253482666143	0.05424702594932708	0.044545642691924695	Tln1/Itgb1/S100a6/Sh3bgrl3	4	Abl1/Macf1/Adam17/Aif1/Akt2/Apc/Arf4/Arf6/Rhoa/Atp6v1b2/Bmx/Anxa2/Cd2ap/Cdc37/Cdk6/Cit/Bcar1/Cttn/Dbnl/Diaph1/Dnm2/Eef1a1/Egfr/Eps8/Fscn1/Fgd1/Fgr/Gas7/Gnas/Pdpn/Itga5/Itgav/Itgb1/Itgb1bp1/Itgb3/Arhgef2/Map2/Mtm1/Myh9/Myo10/Myo1c/Myo5a/Myo6/Myo9b/Nf2/Nme1/Nme2/Pak1/Pdgfrb/Pecam1/Pip5k1a/Plcg1/Lcp1/Inpp5k/Cyth2/Cyth3/Twf1/Ptprj/Ptprz1/Rac1/Rab34/Rdx/Rock1/S100a11/S100a6/S100b/Sh2b1/Ptk6/Src/Synj2/Tiam1/Tln1/Tpm1/Vil1/Ezr/Sh2b2/Pacsin1/Sh3yl1/Fgd2/Rps3/Podxl/Tnfrsf12a/Abca7/Mkln1/Amot/Hip1r/Iqgap1/Dlc1/Tmod3/Nckap1/Myadm/Knstrn/Plek/Pdxp/Trpm7/Trpv4/Inpp5e/Lima1/Plekho1/Pdlim7/Eps8l1/Tln2/Palld/Appl1/Sh3bgrl3/Psd/Arhgap18/Psd2/Als2/Actr3/C2cd5/Clasp2/Arpc2/Arfip2/Acap2/Mtmr14/Eps8l2/Plekha1/Kank1/Aif1l/Actn1/Tirap/Cspg4/Wwc1/Psd4/Appl2/Ppp1r9b/Rasa1/Spata13/Epb41l5/Gsn/Arhgap1/Kif18a/Asap3/Frmd4b/Psd3/Carmil2/Plcg2/Jcad/Wasf2/Mtss2/Fam107a/Rab5a/Pla2g4f/Rinl/Cdkl5	4	66	146	14353	5.9580738895807395
cLEC	GO:0015935	small ribosomal subunit	3/66	76/14353	0.00513964796182744	0.05713735066418124	0.04691906998601822	Mrps18b/Uba52/Fau	3	Ddx3x/Fau/Mrps33/Rack1/Rpsa/Eif2d/Rps2/Npm1/Rps12/Rps14/Rps15/Rps16/Rps17/Rps18/Rps19/Rps24/Rps29/Rps3a1/Rps4x/Rps5/Rps6/Rps7/Rps8/Uba52/Ubb/Mrps12/Rps3/Rps11/Rps26/Mrps7/Rps28/Rps27/Mrps31/Mrps22/Mrps23/Mrps10/Mrps25/Mrps14/Mrps24/Dap3/Aurkaip1/Chchd1/Mrps28/Mrps16/Mrps17/Mrps21/Mrps15/Rps23/Rps21/Mrps18b/Rps10/Mrpl42/Rps20/Rps27l/Mrps11/Rps13/Mrps18a/Mrps18c/Mcts1/Mrps9/Ptcd3/Rps25/Rps9/Mrps5/Rps27a/Mrps34/Mrps26/Mrps2/Mrps6/Larp4/Mrps27/Dhx29/Eif2a/Mrps35/Rps15a/Rps27rt	3	66	76	14353	8.58433014354067
cLEC	GO:0035371	microtubule plus-end	2/66	24/14353	0.005384671790341688	0.05713735066418124	0.04691906998601822	Mapre3/Dst	2	Dctn1/Dst/Mapre1/Kif3c/Knstrn/Spag5/Clip1/Tbcb/Kif18b/Ckap5/Slain2/Clasp2/Clip3/Clip4/Gas2l1/Pde4dip/Mapre3/Numa1/Slain1/Nckap5/Mapre2/Cdk5rap2/Clip2/Nckap5l	2	66	24	14353	18.122474747474747
