cell_type	Ag_class	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	n_ovlp	tot_genes	n_bg_ovlp	tot_bg_genes	enrichment	db
cLEC	Ag-high	GO:0000323	lytic vacuole	11/51	456/14353	4.4587748499744916e-7	4.99382783197143e-5	3.5904871160320904e-5	Atp6v1a/Ctsd/Psap/Grn/Psen2/Prcp/H2-K1/Cd63/App/Lgmn/Fth1	11	11	51	456	14353	6.788914688682491	CC
cLEC	Ag-high	GO:0005764	lysosome	11/51	456/14353	4.4587748499744916e-7	4.99382783197143e-5	3.5904871160320904e-5	Atp6v1a/Ctsd/Psap/Grn/Psen2/Prcp/H2-K1/Cd63/App/Lgmn/Fth1	11	11	51	456	14353	6.788914688682491	CC
cLEC	Ag-high	GO:0045121	membrane raft	8/51	319/14353	1.5111053438803683e-5	8.655854522828414e-4	6.223429238687723e-4	Ctsd/Psen2/Plcd1/App/Cd36/Tubb5/Cd24a/Kdr	8	8	51	319	14353	7.057840063925257	CC
cLEC	Ag-high	GO:0098857	membrane microdomain	8/51	320/14353	1.545688307647931e-5	8.655854522828414e-4	6.223429238687723e-4	Ctsd/Psen2/Plcd1/App/Cd36/Tubb5/Cd24a/Kdr	8	8	51	320	14353	7.0357843137254905	CC
cLEC	Ag-high	GO:0045177	apical part of cell	8/51	367/14353	4.1233908560663705e-5	0.001847279103517734	0.001328165896796115	Actg1/Atp6v1a/Psen2/Dab2/App/Cd36/Lgmn/Adgrf5	8	8	51	367	14353	6.134743815782444	CC
cLEC	Ag-high	GO:0007176	regulation of epidermal growth factor-activated receptor activity	4/51	24/14298	1.4473102509101678e-6	0.0020099151030200106	0.0014627780053789359	Tgfa/Psen2/Aplp2/App	4	4	51	24	14298	46.72549019607843	BP
cLEC	Ag-high	GO:0061097	regulation of protein tyrosine kinase activity	5/51	68/14298	4.1553253178843245e-6	0.0020099151030200106	0.0014627780053789359	Tgfa/Psen2/Gas6/Aplp2/App	5	5	51	68	14298	20.614186851211073	BP
cLEC	Ag-high	GO:0033674	positive regulation of kinase activity	9/51	369/14298	5.377601023143374e-6	0.0020099151030200106	0.0014627780053789359	Dazap2/Ddx3x/Tgfa/Gas6/App/Clu/Cd24a/Csf1/Kdr	9	9	51	369	14298	6.837876614060259	BP
cLEC	Ag-high	GO:0018108	peptidyl-tyrosine phosphorylation	8/51	277/14298	5.547545911837717e-6	0.0020099151030200106	0.0014627780053789359	Tgfa/Psen2/Gas6/Aplp2/App/Cd36/Cd24a/Kdr	8	8	51	277	14298	8.096835846251858	BP
cLEC	Ag-high	GO:0018212	peptidyl-tyrosine modification	8/51	279/14298	5.8488925113697016e-6	0.0020099151030200106	0.0014627780053789359	Tgfa/Psen2/Gas6/Aplp2/App/Cd36/Cd24a/Kdr	8	8	51	279	14298	8.038794012228546	BP
cLEC	Ag-high	GO:0055080	monoatomic cation homeostasis	10/51	480/14298	6.140242339112018e-6	0.0020099151030200106	0.0014627780053789359	Neo1/Atp6v1a/Grn/Psen2/Aplp2/Plcd1/App/Sgk1/Fth1/Kdr	10	10	51	480	14298	5.840686274509804	BP
cLEC	Ag-high	GO:0050801	monoatomic ion homeostasis	10/51	487/14298	6.975312077808987e-6	0.0020099151030200106	0.0014627780053789359	Neo1/Atp6v1a/Grn/Psen2/Aplp2/Plcd1/App/Sgk1/Fth1/Kdr	10	10	51	487	14298	5.756733905060998	BP
cLEC	Ag-high	GO:0006897	endocytosis	10/51	490/14298	7.362326384688683e-6	0.0020099151030200106	0.0014627780053789359	Actg1/Esyt2/Grn/Dab2/Cd63/App/Clu/Cd36/Canx/Cd24a	10	10	51	490	14298	5.721488595438175	BP
cLEC	Ag-high	GO:0030003	intracellular monoatomic cation homeostasis	9/51	400/14298	1.0306297949845144e-5	0.0025009949691624216	0.001820176596990195	Neo1/Atp6v1a/Grn/Psen2/Aplp2/Plcd1/App/Sgk1/Fth1	9	9	51	400	14298	6.307941176470588	BP
cLEC	Ag-high	GO:0043410	positive regulation of MAPK cascade	9/51	421/14298	1.5509210005266747e-5	0.0026055472808848134	0.0018962677820204687	Tgfa/Psap/Gas6/Dab2/App/Cd36/Tbx1/Cd24a/Kdr	9	9	51	421	14298	5.993293279306973	BP
cLEC	Ag-high	GO:0003014	renal system process	5/51	92/14298	1.8381310262518123e-5	0.0026612655139654083	0.001936818452905228	Psap/Gas6/Dab2/Lgmn/Adgrf5	5	5	51	92	14298	15.236572890025574	BP
cLEC	Ag-high	GO:0031589	cell-substrate adhesion	8/51	330/14298	1.9834078868825974e-5	0.0026612655139654083	0.001936818452905228	Actg1/Gas6/Dab2/Cd63/Cd36/Itga9/Csf1/Kdr	8	8	51	330	14298	6.796434937611409	BP
cLEC	Ag-high	GO:0045862	positive regulation of proteolysis	8/51	332/14298	2.071497881749631e-5	0.0026612655139654083	0.001936818452905228	Ddx3x/Ctsd/Grn/Psen2/Dab2/App/Clu/Lgmn	8	8	51	332	14298	6.755492558469171	BP
cLEC	Ag-high	GO:0032640	tumor necrosis factor production	6/51	166/14298	2.6148244519628996e-5	0.0030760746063184076	0.0022387086251883536	Psen2/Gas6/App/Clu/Cd36/Cd24a	6	6	51	166	14298	10.133238837703756	BP
cLEC	Ag-high	GO:0071706	tumor necrosis factor superfamily cytokine production	6/51	168/14298	2.7975604853671335e-5	0.0030760746063184076	0.0022387086251883536	Psen2/Gas6/App/Clu/Cd36/Cd24a	6	6	51	168	14298	10.012605042016807	BP
cLEC	Ag-high	GO:0051347	positive regulation of transferase activity	9/51	454/14298	2.8169181376542194e-5	0.0030760746063184076	0.0022387086251883536	Dazap2/Ddx3x/Tgfa/Gas6/App/Clu/Cd24a/Csf1/Kdr	9	9	51	454	14298	5.557657424203161	BP
cLEC	Ag-high	GO:0001525	angiogenesis	9/51	472/14298	3.819930281467993e-5	0.003972727492726713	0.0028912755513868017	Actg1/Fbln5/Btg1/Tgfa/Grn/Prcp/Plcd1/Tbx1/Kdr	9	9	51	472	14298	5.345712861415754	BP
cLEC	Ag-high	GO:0032103	positive regulation of response to external stimulus	9/51	481/14298	4.425826355830482e-5	0.004393638527788078	0.003197606601580875	Ddx3x/Grn/Gas6/App/Cd36/Lgmn/Cd24a/Csf1/Kdr	9	9	51	481	14298	5.24568912804207	BP
cLEC	Ag-high	GO:0048260	positive regulation of receptor-mediated endocytosis	4/51	57/14298	4.933141240391385e-5	0.004684339334354254	0.003409173122650339	Dab2/Cd63/App/Clu	4	4	51	57	14298	19.67389060887513	BP
cLEC	Ag-high	GO:0010035	response to inorganic substance	8/51	394/14298	6.985775496809118e-5	0.006102773474012445	0.004441482526392324	Fbln5/Psap/Junb/Plcd1/App/Cd36/Lgmn/Kdr	8	8	51	394	14298	5.6924455061212305	BP
cLEC	Ag-high	GO:0071677	positive regulation of mononuclear cell migration	4/51	63/14298	7.322758769600935e-5	0.006151117366464786	0.004476666292347131	Gas6/App/Lgmn/Csf1	4	4	51	63	14298	17.800186741363213	BP
cLEC	Ag-high	GO:0150076	neuroinflammatory response	4/51	66/14298	8.790603446376474e-5	0.006961339184035889	0.005066330329619333	Grn/Psen2/App/Clu	4	4	51	66	14298	16.991087344028518	BP
cLEC	Ag-high	GO:1990000	amyloid fibril formation	3/51	25/14298	9.303921730110406e-5	0.006961339184035889	0.005066330329619333	App/Clu/Cd36	3	3	51	25	14298	33.64235294117647	BP
cLEC	Ag-high	GO:0050921	positive regulation of chemotaxis	5/51	130/14298	9.663241017160322e-5	0.006961339184035889	0.005066330329619333	Gas6/App/Lgmn/Csf1/Kdr	5	5	51	130	14298	10.782805429864254	BP
cLEC	Ag-high	GO:1903036	positive regulation of response to wounding	4/51	68/14298	9.881021735582077e-5	0.006961339184035889	0.005066330329619333	Actg1/Grn/Cd36/Cd24a	4	4	51	68	14298	16.491349480968857	BP
cLEC	Ag-high	GO:0048488	synaptic vesicle endocytosis	4/51	70/14298	1.106654181522109e-4	0.007552914788888394	0.00549686780953416	Actg1/Grn/Canx/Cd24a	4	4	51	70	14298	16.02016806722689	BP
cLEC	Ag-high	GO:1901215	negative regulation of neuron death	6/51	226/14298	1.450893361562633e-4	0.00874891055504413	0.006367290793385694	Neo1/Grn/App/Lgmn/Csf1/Kdr	6	6	51	226	14298	7.442998438313379	BP
cLEC	Ag-high	GO:0009611	response to wounding	8/51	442/14298	1.5509742019389702e-4	0.00874891055504413	0.006367290793385694	Neo1/Actg1/Grn/Gas6/Prcp/Cd36/Cd24a/Kdr	8	8	51	442	14298	5.0742613787596484	BP
cLEC	Ag-high	GO:0002092	positive regulation of receptor internalization	3/51	30/14298	1.621824237065773e-4	0.00874891055504413	0.006367290793385694	Dab2/Cd63/App	3	3	51	30	14298	28.03529411764706	BP
cLEC	Ag-high	GO:1904646	cellular response to amyloid-beta	3/51	30/14298	1.621824237065773e-4	0.00874891055504413	0.006367290793385694	App/Cd36/Lgmn	3	3	51	30	14298	28.03529411764706	BP
cLEC	Ag-high	GO:0043112	receptor metabolic process	4/51	78/14298	1.6858729921769125e-4	0.00874891055504413	0.006367290793385694	Ctsd/Psen2/Dab2/Lgmn	4	4	51	78	14298	14.377073906485672	BP
cLEC	Ag-high	GO:0007617	mating behavior	3/51	31/14298	1.791083106730945e-4	0.008890285238864508	0.00647018060087016	Grn/Aplp2/App	3	3	51	31	14298	27.13092979127135	BP
cLEC	Ag-high	GO:1900407	regulation of cellular response to oxidative stress	4/51	81/14298	1.9509395452633346e-4	0.008969898543460694	0.006528121650581092	Fbln5/Psap/App/Cd36	4	4	51	81	14298	13.844589687726943	BP
cLEC	Ag-high	GO:0090322	regulation of superoxide metabolic process	3/51	32/14298	1.9714062732880647e-4	0.008969898543460694	0.006528121650581092	Fbln5/App/Cd36	3	3	51	32	14298	26.28308823529412	BP
cLEC	Ag-high	GO:0097242	amyloid-beta clearance	3/51	33/14298	2.1631038129569583e-4	0.009641262709179586	0.007016727728388845	App/Clu/Cd36	3	3	51	33	14298	25.48663101604278	BP
cLEC	Ag-high	GO:0060326	cell chemotaxis	6/51	246/14298	2.2988074723620706e-4	0.00984430494046816	0.007164498004678486	Gas6/App/Lgmn/Itga9/Csf1/Kdr	6	6	51	246	14298	6.837876614060258	BP
cLEC	Ag-high	GO:1904645	response to amyloid-beta	3/51	34/14298	2.3664822813684712e-4	0.009934688252104348	0.007230277260785409	App/Cd36/Lgmn	3	3	51	34	14298	24.737024221453286	BP
cLEC	Ag-high	GO:0032680	regulation of tumor necrosis factor production	5/51	159/14298	2.482512231222872e-4	0.010040382801834726	0.007307199744925022	Gas6/App/Clu/Cd36/Cd24a	5	5	51	159	14298	8.816130225675176	BP
cLEC	Ag-high	GO:1902882	regulation of response to oxidative stress	4/51	87/14298	2.5693881935373434e-4	0.010202806935791925	0.007425408942088782	Fbln5/Psap/App/Cd36	4	4	51	87	14298	12.889790398918187	BP
cLEC	Ag-high	GO:0042116	macrophage activation	4/51	91/14298	3.0529254885831766e-4	0.01169752502993975	0.00851323635782197	Grn/App/Clu/Adgrf5	4	4	51	91	14298	12.323206205559147	BP
cLEC	Ag-high	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	4/51	96/14298	3.745191823938576e-4	0.013192740231422338	0.009601425558823854	Neo1/Gdf10/Dab2/Kdr	4	4	51	96	14298	11.681372549019608	BP
cLEC	Ag-high	GO:0070997	neuron death	7/51	383/14298	3.926095032128241e-4	0.013397799297137622	0.009750663648871125	Neo1/Grn/App/Clu/Lgmn/Csf1/Kdr	7	7	51	383	14298	5.123944094609123	BP
cLEC	Ag-high	GO:0031904	endosome lumen	2/51	10/14353	5.46998948761109e-4	0.013614196058054268	0.009788402240988266	Ctsd/Cd63	2	2	51	10	14353	56.286274509803924	CC
cLEC	Ag-high	GO:0098553	lumenal side of endoplasmic reticulum membrane	2/51	11/14353	6.67035309290351e-4	0.01494159092810386	0.01074277919172881	H2-K1/Canx	2	2	51	11	14353	51.16934046345811	CC
cLEC	Ag-high	GO:0045429	positive regulation of nitric oxide biosynthetic process	3/51	43/14298	4.771400026103222e-4	0.0157889964500143	0.011490931482321956	App/Clu/Cd36	3	3	51	43	14298	19.559507523939807	BP
cLEC	Ag-high	GO:0002158	osteoclast proliferation	2/51	10/14298	5.511768225839429e-4	0.016267164601666637	0.011838933173566912	Junb/Csf1	2	2	51	10	14298	56.07058823529412	BP
cLEC	Ag-high	GO:0061517	macrophage proliferation	2/51	10/14298	5.511768225839429e-4	0.016267164601666637	0.011838933173566912	Clu/Csf1	2	2	51	10	14298	56.07058823529412	BP
cLEC	Ag-high	GO:0002269	leukocyte activation involved in inflammatory response	3/51	46/14298	5.825021062868244e-4	0.016521877923771747	0.012024308687533902	Grn/App/Clu	3	3	51	46	14298	18.283887468030688	BP
